"Time","Grouped CPU Load"
2025-04-03 09:51:00,70.7%
2025-04-03 09:51:05,63.0%
2025-04-03 09:51:10,61.5%
2025-04-03 09:51:15,62.9%
2025-04-03 09:51:20,68.7%
2025-04-03 09:51:25,64.2%
2025-04-03 09:51:30,63.5%
2025-04-03 09:51:35,61.8%
2025-04-03 09:51:40,67.8%
2025-04-03 09:51:45,60.9%
2025-04-03 09:51:50,61.4%
2025-04-03 09:51:55,70.5%
2025-04-03 09:52:00,61.9%
2025-04-03 09:52:05,70.9%
2025-04-03 09:52:10,63.2%
2025-04-03 09:52:15,62.3%
2025-04-03 09:52:20,61.8%
2025-04-03 09:52:25,61.6%
2025-04-03 09:52:30,63.2%
2025-04-03 09:52:35,61.4%
2025-04-03 09:52:40,62.8%
2025-04-03 09:52:45,61.8%
2025-04-03 09:52:50,62.6%
2025-04-03 09:52:55,62.2%
2025-04-03 09:53:00,63.1%
2025-04-03 09:53:05,61.3%
2025-04-03 09:53:10,62.0%
2025-04-03 09:53:15,62.4%
2025-04-03 09:53:20,61.9%
2025-04-03 09:53:25,71.8%
2025-04-03 09:53:30,63.3%
2025-04-03 09:53:35,70.2%
2025-04-03 09:53:40,62.2%
2025-04-03 09:53:45,62.7%
2025-04-03 09:53:50,61.4%
2025-04-03 09:53:55,59.1%
2025-04-03 09:54:00,61.0%
2025-04-03 09:54:05,84.0%
2025-04-03 09:54:10,70.9%
2025-04-03 09:54:15,62.5%
2025-04-03 09:54:20,61.2%
2025-04-03 09:54:25,61.7%
2025-04-03 09:54:30,80.6%
2025-04-03 09:54:35,63.1%
2025-04-03 09:54:40,61.2%
2025-04-03 09:54:45,81.3%
2025-04-03 09:54:50,70.7%
2025-04-03 09:54:55,70.6%
2025-04-03 09:55:00,62.3%
2025-04-03 09:55:05,61.1%
2025-04-03 09:55:10,62.7%
2025-04-03 09:55:15,69.9%
2025-04-03 09:55:20,61.5%
2025-04-03 09:55:25,63.3%
2025-04-03 09:55:30,62.4%
2025-04-03 09:55:35,62.2%
2025-04-03 09:55:40,62.7%
2025-04-03 09:55:45,62.3%
2025-04-03 09:55:50,74.3%
2025-04-03 09:55:55,72.0%
2025-04-03 09:56:00,71.9%
