"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-03 10:56:50,52.5%
2025-04-03 10:56:55,53.9%
2025-04-03 10:57:00,53.1%
2025-04-03 10:57:05,54.2%
2025-04-03 10:57:10,58.0%
2025-04-03 10:57:15,53.2%
2025-04-03 10:57:20,53.9%
2025-04-03 10:57:25,59.4%
2025-04-03 10:57:30,53.5%
2025-04-03 10:57:35,53.9%
2025-04-03 10:57:40,53.2%
2025-04-03 10:57:45,54.0%
2025-04-03 10:57:50,54.7%
2025-04-03 10:57:55,52.7%
2025-04-03 10:58:00,54.0%
2025-04-03 10:58:05,52.3%
2025-04-03 10:58:10,54.7%
2025-04-03 10:58:15,54.4%
2025-04-03 10:58:20,53.5%
2025-04-03 10:58:25,54.5%
2025-04-03 10:58:30,53.9%
2025-04-03 10:58:35,56.0%
2025-04-03 10:58:40,53.9%
2025-04-03 10:58:45,54.5%
2025-04-03 10:58:50,52.6%
2025-04-03 10:58:55,51.9%
2025-04-03 10:59:00,53.6%
2025-04-03 10:59:05,52.5%
2025-04-03 10:59:10,53.1%
2025-04-03 10:59:15,51.2%
2025-04-03 10:59:20,52.4%
2025-04-03 10:59:25,53.0%
2025-04-03 10:59:30,53.5%
2025-04-03 10:59:35,57.5%
2025-04-03 10:59:40,53.7%
2025-04-03 10:59:45,53.7%
2025-04-03 10:59:50,53.9%
2025-04-03 10:59:55,52.0%
2025-04-03 11:00:00,53.4%
2025-04-03 11:00:05,52.9%
2025-04-03 11:00:10,52.6%
2025-04-03 11:00:15,53.9%
2025-04-03 11:00:20,53.9%
2025-04-03 11:00:25,53.2%
2025-04-03 11:00:30,51.1%
2025-04-03 11:00:35,53.5%
2025-04-03 11:00:40,53.0%
2025-04-03 11:00:45,54.5%
2025-04-03 11:00:50,50.2%
2025-04-03 11:00:55,49.1%
2025-04-03 11:01:00,51.9%
2025-04-03 11:01:05,54.5%
2025-04-03 11:01:10,52.7%
2025-04-03 11:01:15,52.8%
2025-04-03 11:01:20,49.9%
2025-04-03 11:01:25,50.1%
2025-04-03 11:01:30,52.9%
2025-04-03 11:01:35,53.1%
2025-04-03 11:01:40,50.0%
2025-04-03 11:01:45,43.5%
2025-04-03 11:01:50,44.8%
