Time,"power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 10:49:51,7.70 W
2025-04-03 10:49:56,7.65 W
2025-04-03 10:50:01,7.69 W
2025-04-03 10:50:06,7.55 W
2025-04-03 10:50:11,7.66 W
2025-04-03 10:50:16,7.55 W
2025-04-03 10:50:21,7.34 W
2025-04-03 10:50:26,7.49 W
2025-04-03 10:50:31,7.37 W
2025-04-03 10:50:36,7.55 W
2025-04-03 10:50:41,7.79 W
2025-04-03 10:50:46,7.71 W
2025-04-03 10:50:51,7.52 W
2025-04-03 10:50:56,7.63 W
2025-04-03 10:51:01,7.58 W
2025-04-03 10:51:06,7.35 W
2025-04-03 10:51:11,7.60 W
2025-04-03 10:51:16,7.28 W
2025-04-03 10:51:21,7.63 W
2025-04-03 10:51:26,7.45 W
2025-04-03 10:51:31,7.61 W
2025-04-03 10:51:36,7.25 W
2025-04-03 10:51:41,7.28 W
2025-04-03 10:51:46,7.37 W
2025-04-03 10:51:51,7.42 W
2025-04-03 10:51:56,7.35 W
2025-04-03 10:52:01,7.39 W
2025-04-03 10:52:06,7.41 W
2025-04-03 10:52:11,7.50 W
2025-04-03 10:52:16,7.49 W
2025-04-03 10:52:21,7.46 W
2025-04-03 10:52:26,7.63 W
2025-04-03 10:52:31,7.55 W
2025-04-03 10:52:36,7.43 W
2025-04-03 10:52:41,7.28 W
2025-04-03 10:52:46,7.43 W
2025-04-03 10:52:51,7.39 W
2025-04-03 10:52:56,7.31 W
2025-04-03 10:53:01,7.41 W
2025-04-03 10:53:06,7.38 W
2025-04-03 10:53:11,7.39 W
2025-04-03 10:53:16,7.29 W
2025-04-03 10:53:21,7.42 W
2025-04-03 10:53:26,7.35 W
2025-04-03 10:53:31,7.49 W
2025-04-03 10:53:36,7.39 W
2025-04-03 10:53:41,7.28 W
2025-04-03 10:53:46,7.36 W
2025-04-03 10:53:51,7.33 W
2025-04-03 10:53:56,7.34 W
2025-04-03 10:54:01,7.36 W
2025-04-03 10:54:06,7.2 W
2025-04-03 10:54:11,7.97 W
2025-04-03 10:54:16,7.10 W
2025-04-03 10:54:21,7.42 W
