"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 11:26:58,7.28 W
2025-04-03 11:27:03,7.26 W
2025-04-03 11:27:08,7.23 W
2025-04-03 11:27:13,6.92 W
2025-04-03 11:27:18,6.97 W
2025-04-03 11:27:23,7.14 W
2025-04-03 11:27:28,6.77 W
2025-04-03 11:27:33,6.69 W
2025-04-03 11:27:38,6.91 W
2025-04-03 11:27:43,7.28 W
2025-04-03 11:27:48,7.24 W
2025-04-03 11:27:53,7.23 W
2025-04-03 11:27:58,7.21 W
2025-04-03 11:28:03,7.31 W
2025-04-03 11:28:08,7.27 W
2025-04-03 11:28:13,7.19 W
2025-04-03 11:28:18,7.19 W
2025-04-03 11:28:23,7.16 W
2025-04-03 11:28:28,7.14 W
2025-04-03 11:28:33,7.21 W
2025-04-03 11:28:38,7.23 W
2025-04-03 11:28:43,7.82 W
2025-04-03 11:28:48,7.70 W
2025-04-03 11:28:53,7.75 W
2025-04-03 11:28:58,6.88 W
2025-04-03 11:29:03,6.89 W
2025-04-03 11:29:08,7.33 W
2025-04-03 11:29:13,7.39 W
2025-04-03 11:29:18,6.91 W
2025-04-03 11:29:23,6.86 W
2025-04-03 11:29:28,6.80 W
2025-04-03 11:29:33,7.30 W
2025-04-03 11:29:38,6.88 W
2025-04-03 11:29:43,6.84 W
2025-04-03 11:29:48,7.36 W
2025-04-03 11:29:53,6.98 W
2025-04-03 11:29:58,6.88 W
2025-04-03 11:30:03,6.94 W
2025-04-03 11:30:08,7.05 W
2025-04-03 11:30:13,7.40 W
2025-04-03 11:30:18,7.46 W
2025-04-03 11:30:23,7.91 W
2025-04-03 11:30:28,7.84 W
2025-04-03 11:30:33,7.22 W
2025-04-03 11:30:38,7.28 W
2025-04-03 11:30:43,7.34 W
2025-04-03 11:30:48,7.38 W
2025-04-03 11:30:53,7.38 W
2025-04-03 11:30:58,7.36 W
2025-04-03 11:31:03,7.16 W
2025-04-03 11:31:08,7.13 W
2025-04-03 11:31:13,7.11 W
2025-04-03 11:31:18,7.11 W
2025-04-03 11:31:23,7.17 W
2025-04-03 11:31:28,7.20 W
