"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-03 13:29:35,1.53%
2025-04-03 13:29:40,1.46%
2025-04-03 13:29:45,1.49%
2025-04-03 13:29:50,1.40%
2025-04-03 13:29:55,1.47%
2025-04-03 13:30:00,1.48%
2025-04-03 13:30:05,1.54%
2025-04-03 13:30:10,1.47%
2025-04-03 13:30:15,1.43%
2025-04-03 13:30:20,1.42%
2025-04-03 13:30:25,1.53%
2025-04-03 13:30:30,1.48%
2025-04-03 13:30:35,1.30%
2025-04-03 13:30:40,1.67%
2025-04-03 13:30:45,1.48%
2025-04-03 13:30:50,1.52%
2025-04-03 13:30:55,1.56%
2025-04-03 13:31:00,1.34%
2025-04-03 13:31:05,1.52%
2025-04-03 13:31:10,1.31%
2025-04-03 13:31:15,1.45%
2025-04-03 13:31:20,1.59%
2025-04-03 13:31:25,1.61%
2025-04-03 13:31:30,1.51%
2025-04-03 13:31:35,1.49%
2025-04-03 13:31:40,1.49%
2025-04-03 13:31:45,1.48%
2025-04-03 13:31:50,1.45%
2025-04-03 13:31:55,1.42%
2025-04-03 13:32:00,1.41%
2025-04-03 13:32:05,1.37%
2025-04-03 13:32:10,1.42%
2025-04-03 13:32:15,1.50%
2025-04-03 13:32:20,1.50%
2025-04-03 13:32:25,1.54%
2025-04-03 13:32:30,1.50%
2025-04-03 13:32:35,1.52%
2025-04-03 13:32:40,1.44%
2025-04-03 13:32:45,1.45%
2025-04-03 13:32:50,1.45%
2025-04-03 13:32:55,1.38%
2025-04-03 13:33:00,1.77%
2025-04-03 13:33:05,2.07%
2025-04-03 13:33:10,1.57%
2025-04-03 13:33:15,1.57%
2025-04-03 13:33:20,1.56%
2025-04-03 13:33:25,1.54%
2025-04-03 13:33:30,1.47%
2025-04-03 13:33:35,1.44%
2025-04-03 13:33:40,1.35%
2025-04-03 13:33:45,1.39%
2025-04-03 13:33:50,1.33%
2025-04-03 13:33:55,1.36%
2025-04-03 13:34:00,1.46%
2025-04-03 13:34:05,1.50%
2025-04-03 13:34:10,1.47%
2025-04-03 13:34:15,1.45%
2025-04-03 13:34:20,1.48%
2025-04-03 13:34:25,1.54%
2025-04-03 13:34:30,1.63%
2025-04-03 13:34:35,1.49%
