"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-03 13:29:35,0.0639%
2025-04-03 13:29:40,0.0619%
2025-04-03 13:29:45,0.0640%
2025-04-03 13:29:50,0.0648%
2025-04-03 13:29:55,0.0631%
2025-04-03 13:30:00,0.0632%
2025-04-03 13:30:05,0.0616%
2025-04-03 13:30:10,0.0628%
2025-04-03 13:30:15,0.0628%
2025-04-03 13:30:20,0.0648%
2025-04-03 13:30:25,0.0632%
2025-04-03 13:30:30,0.0649%
2025-04-03 13:30:35,0.0630%
2025-04-03 13:30:40,0.0614%
2025-04-03 13:30:45,0.0629%
2025-04-03 13:30:50,0.0616%
2025-04-03 13:30:55,0.0649%
2025-04-03 13:31:00,0.0618%
2025-04-03 13:31:05,0.0603%
2025-04-03 13:31:10,0.0625%
2025-04-03 13:31:15,0.0629%
2025-04-03 13:31:20,0.0621%
2025-04-03 13:31:25,0.0627%
2025-04-03 13:31:30,0.0616%
2025-04-03 13:31:35,0.0624%
2025-04-03 13:31:40,0.0627%
2025-04-03 13:31:45,0.0616%
2025-04-03 13:31:50,0.0639%
2025-04-03 13:31:55,0.0633%
2025-04-03 13:32:00,0.0604%
2025-04-03 13:32:05,0.0602%
2025-04-03 13:32:10,0.0598%
2025-04-03 13:32:15,0.0624%
2025-04-03 13:32:20,0.0628%
2025-04-03 13:32:25,0.0630%
2025-04-03 13:32:30,0.0611%
2025-04-03 13:32:35,0.0622%
2025-04-03 13:32:40,0.0620%
2025-04-03 13:32:45,0.0631%
2025-04-03 13:32:50,0.0647%
2025-04-03 13:32:55,0.0637%
2025-04-03 13:33:00,0.0649%
2025-04-03 13:33:05,0.0617%
2025-04-03 13:33:10,0.0600%
2025-04-03 13:33:15,0.0685%
2025-04-03 13:33:20,0.0613%
2025-04-03 13:33:25,0.0615%
2025-04-03 13:33:30,0.0612%
2025-04-03 13:33:35,0.0625%
2025-04-03 13:33:40,0.0648%
2025-04-03 13:33:45,0.0617%
2025-04-03 13:33:50,0.0608%
2025-04-03 13:33:55,0.0618%
2025-04-03 13:34:00,0.0611%
2025-04-03 13:34:05,0.0648%
2025-04-03 13:34:10,0.0659%
2025-04-03 13:34:15,0.0647%
2025-04-03 13:34:20,0.0612%
2025-04-03 13:34:25,0.0618%
2025-04-03 13:34:30,0.0733%
2025-04-03 13:34:35,0.0692%
