"Time","GraphQL server"
2025-04-03 13:40:50,61.9%
2025-04-03 13:40:55,62.4%
2025-04-03 13:41:00,63.1%
2025-04-03 13:41:05,62.2%
2025-04-03 13:41:10,62.3%
2025-04-03 13:41:15,62.8%
2025-04-03 13:41:20,61.7%
2025-04-03 13:41:25,63.2%
2025-04-03 13:41:30,63.6%
2025-04-03 13:41:35,64.4%
2025-04-03 13:41:40,62.0%
2025-04-03 13:41:45,68.2%
2025-04-03 13:41:50,63.9%
2025-04-03 13:41:55,61.7%
2025-04-03 13:42:00,60.7%
2025-04-03 13:42:05,64.0%
2025-04-03 13:42:10,60.6%
2025-04-03 13:42:15,64.8%
2025-04-03 13:42:20,65.9%
2025-04-03 13:42:25,56.0%
2025-04-03 13:42:30,58.9%
2025-04-03 13:42:35,64.8%
2025-04-03 13:42:40,62.5%
2025-04-03 13:42:45,64.0%
2025-04-03 13:42:50,61.8%
2025-04-03 13:42:55,63.2%
2025-04-03 13:43:00,60.5%
2025-04-03 13:43:05,64.7%
2025-04-03 13:43:10,61.4%
2025-04-03 13:43:15,64.9%
2025-04-03 13:43:20,60.6%
2025-04-03 13:43:25,61.6%
2025-04-03 13:43:30,58.7%
2025-04-03 13:43:35,58.5%
2025-04-03 13:43:40,59.1%
2025-04-03 13:43:45,60.3%
2025-04-03 13:43:50,61.6%
2025-04-03 13:43:55,61.4%
2025-04-03 13:44:00,63.0%
2025-04-03 13:44:05,62.5%
2025-04-03 13:44:10,61.5%
2025-04-03 13:44:15,62.1%
2025-04-03 13:44:20,61.9%
2025-04-03 13:44:25,62.5%
2025-04-03 13:44:30,64.6%
2025-04-03 13:44:35,58.2%
2025-04-03 13:44:40,64.6%
2025-04-03 13:44:45,60.9%
2025-04-03 13:44:50,61.4%
2025-04-03 13:44:55,59.2%
2025-04-03 13:45:00,62.8%
2025-04-03 13:45:05,61.0%
2025-04-03 13:45:10,60.5%
2025-04-03 13:45:15,63.7%
2025-04-03 13:45:20,63.9%
2025-04-03 13:45:25,62.1%
2025-04-03 13:45:30,59.2%
2025-04-03 13:45:35,59.8%
2025-04-03 13:45:40,60.8%
2025-04-03 13:45:45,61.8%
2025-04-03 13:45:50,60.9%
