"Time","Postgres"
2025-04-03 14:21:40,1.62%
2025-04-03 14:21:45,1.67%
2025-04-03 14:21:50,1.75%
2025-04-03 14:21:55,1.66%
2025-04-03 14:22:00,1.53%
2025-04-03 14:22:05,1.49%
2025-04-03 14:22:10,1.41%
2025-04-03 14:22:15,1.37%
2025-04-03 14:22:20,1.38%
2025-04-03 14:22:25,1.37%
2025-04-03 14:22:30,1.35%
2025-04-03 14:22:35,1.39%
2025-04-03 14:22:40,1.38%
2025-04-03 14:22:45,1.51%
2025-04-03 14:22:50,1.52%
2025-04-03 14:22:55,1.48%
2025-04-03 14:23:00,1.49%
2025-04-03 14:23:05,2.46%
2025-04-03 14:23:10,1.56%
2025-04-03 14:23:15,1.43%
2025-04-03 14:23:20,1.38%
2025-04-03 14:23:25,1.41%
2025-04-03 14:23:30,1.58%
2025-04-03 14:23:35,1.82%
2025-04-03 14:23:40,1.57%
2025-04-03 14:23:45,1.48%
2025-04-03 14:23:50,1.49%
2025-04-03 14:23:55,1.47%
2025-04-03 14:24:00,1.45%
2025-04-03 14:24:05,1.41%
2025-04-03 14:24:10,1.39%
2025-04-03 14:24:15,1.38%
2025-04-03 14:24:20,1.37%
2025-04-03 14:24:25,1.38%
2025-04-03 14:24:30,1.42%
2025-04-03 14:24:35,1.28%
2025-04-03 14:24:40,2.08%
2025-04-03 14:24:45,1.42%
2025-04-03 14:24:50,1.36%
2025-04-03 14:24:55,1.24%
2025-04-03 14:25:00,1.92%
2025-04-03 14:25:05,1.39%
2025-04-03 14:25:10,1.45%
2025-04-03 14:25:15,1.22%
2025-04-03 14:25:20,1.91%
2025-04-03 14:25:25,1.63%
2025-04-03 14:25:30,1.50%
2025-04-03 14:25:35,1.34%
2025-04-03 14:25:40,1.49%
2025-04-03 14:25:45,1.71%
2025-04-03 14:25:50,1.69%
2025-04-03 14:25:55,1.41%
2025-04-03 14:26:00,1.92%
2025-04-03 14:26:05,1.45%
2025-04-03 14:26:10,1.49%
2025-04-03 14:26:15,1.67%
2025-04-03 14:26:20,1.43%
2025-04-03 14:26:25,1.35%
2025-04-03 14:26:30,1.84%
2025-04-03 14:26:35,1.37%
2025-04-03 14:26:40,1.58%
