"Time","Redis"
2025-04-03 14:29:55,0.0680%
2025-04-03 14:30:00,0.0665%
2025-04-03 14:30:05,0.0648%
2025-04-03 14:30:10,0.0654%
2025-04-03 14:30:15,0.0649%
2025-04-03 14:30:20,0.0688%
2025-04-03 14:30:25,0.0664%
2025-04-03 14:30:30,0.0642%
2025-04-03 14:30:35,0.0640%
2025-04-03 14:30:40,0.0654%
2025-04-03 14:30:45,0.0675%
2025-04-03 14:30:50,0.0657%
2025-04-03 14:30:55,0.0684%
2025-04-03 14:31:00,0.0672%
2025-04-03 14:31:05,0.0676%
2025-04-03 14:31:10,0.0650%
2025-04-03 14:31:15,0.0669%
2025-04-03 14:31:20,0.0657%
2025-04-03 14:31:25,0.0678%
2025-04-03 14:31:30,0.0647%
2025-04-03 14:31:35,0.0657%
2025-04-03 14:31:40,0.0690%
2025-04-03 14:31:45,0.0657%
2025-04-03 14:31:50,0.0678%
2025-04-03 14:31:55,0.0681%
2025-04-03 14:32:00,0.0653%
2025-04-03 14:32:05,0.0666%
2025-04-03 14:32:10,0.0662%
2025-04-03 14:32:15,0.0631%
2025-04-03 14:32:20,0.0638%
2025-04-03 14:32:25,0.0658%
2025-04-03 14:32:30,0.0675%
2025-04-03 14:32:35,0.0638%
2025-04-03 14:32:40,0.0646%
2025-04-03 14:32:45,0.0677%
2025-04-03 14:32:50,0.0662%
2025-04-03 14:32:55,0.0677%
2025-04-03 14:33:00,0.0660%
2025-04-03 14:33:05,0.0680%
2025-04-03 14:33:10,0.0672%
2025-04-03 14:33:15,0.0659%
2025-04-03 14:33:20,0.0677%
2025-04-03 14:33:25,0.0684%
2025-04-03 14:33:30,0.0673%
2025-04-03 14:33:35,0.0663%
2025-04-03 14:33:40,0.0683%
2025-04-03 14:33:45,0.0693%
2025-04-03 14:33:50,0.0655%
2025-04-03 14:33:55,0.0669%
2025-04-03 14:34:00,0.0701%
2025-04-03 14:34:05,0.0666%
2025-04-03 14:34:10,0.0664%
2025-04-03 14:34:15,0.0667%
2025-04-03 14:34:20,0.0651%
2025-04-03 14:34:25,0.0688%
2025-04-03 14:34:30,0.0683%
2025-04-03 14:34:35,0.0668%
2025-04-03 14:34:40,0.0685%
2025-04-03 14:34:45,0.0658%
2025-04-03 14:34:50,0.0683%
2025-04-03 14:34:55,0.0640%
