"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-14 10:11:05,73.8%
2025-04-14 10:11:10,76.8%
2025-04-14 10:11:15,78.1%
2025-04-14 10:11:20,77.3%
2025-04-14 10:11:25,78.7%
2025-04-14 10:11:30,76.5%
2025-04-14 10:11:35,75.3%
2025-04-14 10:11:40,78.0%
2025-04-14 10:11:45,77.2%
2025-04-14 10:11:50,77.3%
2025-04-14 10:11:55,78.2%
2025-04-14 10:12:00,77.9%
2025-04-14 10:12:05,77.5%
2025-04-14 10:12:10,77.0%
2025-04-14 10:12:15,78.1%
2025-04-14 10:12:20,79.0%
2025-04-14 10:12:25,78.5%
2025-04-14 10:12:30,77.7%
2025-04-14 10:12:35,73.4%
2025-04-14 10:12:40,78.8%
2025-04-14 10:12:45,77.5%
2025-04-14 10:12:50,78.3%
2025-04-14 10:12:55,78.1%
2025-04-14 10:13:00,78.7%
2025-04-14 10:13:05,78.6%
2025-04-14 10:13:10,79.2%
2025-04-14 10:13:15,78.2%
2025-04-14 10:13:20,78.3%
2025-04-14 10:13:25,78.7%
2025-04-14 10:13:30,77.0%
2025-04-14 10:13:35,74.1%
2025-04-14 10:13:40,77.9%
2025-04-14 10:13:45,78.2%
2025-04-14 10:13:50,78.4%
2025-04-14 10:13:55,78.1%
2025-04-14 10:14:00,78.8%
2025-04-14 10:14:05,78.6%
2025-04-14 10:14:10,76.7%
2025-04-14 10:14:15,78.3%
2025-04-14 10:14:20,78.1%
2025-04-14 10:14:25,78.4%
2025-04-14 10:14:30,75.5%
2025-04-14 10:14:35,75.4%
2025-04-14 10:14:40,78.0%
2025-04-14 10:14:45,78.1%
2025-04-14 10:14:50,78.0%
2025-04-14 10:14:55,73.5%
2025-04-14 10:15:00,78.0%
2025-04-14 10:15:05,78.4%
2025-04-14 10:15:10,77.5%
2025-04-14 10:15:15,77.8%
2025-04-14 10:15:20,77.4%
2025-04-14 10:15:25,78.6%
2025-04-14 10:15:30,78.6%
2025-04-14 10:15:35,73.3%
2025-04-14 10:15:40,77.6%
2025-04-14 10:15:45,77.1%
2025-04-14 10:15:50,77.9%
2025-04-14 10:15:55,78.8%
2025-04-14 10:16:00,78.2%
2025-04-14 10:16:05,63.4%
