"Time","Grouped CPU Load"
2025-04-14 07:24:10,11.1%
2025-04-14 07:24:15,11.1%
2025-04-14 07:24:20,11.1%
2025-04-14 07:24:25,11.1%
2025-04-14 07:24:30,11.1%
2025-04-14 07:24:35,11.1%
2025-04-14 07:24:40,11.2%
2025-04-14 07:24:45,11.2%
2025-04-14 07:24:50,12.7%
2025-04-14 07:24:55,11.2%
2025-04-14 07:25:00,11.1%
2025-04-14 07:25:05,11.0%
2025-04-14 07:25:10,11.1%
2025-04-14 07:25:15,11.1%
2025-04-14 07:25:20,11.1%
2025-04-14 07:25:25,11.1%
2025-04-14 07:25:30,11.1%
2025-04-14 07:25:35,11.3%
2025-04-14 07:25:40,12.1%
2025-04-14 07:25:45,11.2%
2025-04-14 07:25:50,11.1%
2025-04-14 07:25:55,11.2%
2025-04-14 07:26:00,11.2%
2025-04-14 07:26:05,11.2%
2025-04-14 07:26:10,11.2%
2025-04-14 07:26:15,11.1%
2025-04-14 07:26:20,11.1%
2025-04-14 07:26:25,11.2%
2025-04-14 07:26:30,12.3%
2025-04-14 07:26:35,11.2%
2025-04-14 07:26:40,11.2%
2025-04-14 07:26:45,11.1%
2025-04-14 07:26:50,11.1%
2025-04-14 07:26:55,11.0%
2025-04-14 07:27:00,11.1%
2025-04-14 07:27:05,11.1%
2025-04-14 07:27:10,12.7%
2025-04-14 07:27:15,11.1%
2025-04-14 07:27:20,11.1%
2025-04-14 07:27:25,11.1%
2025-04-14 07:27:30,11.0%
2025-04-14 07:27:35,11.0%
2025-04-14 07:27:40,11.1%
2025-04-14 07:27:45,11.0%
2025-04-14 07:27:50,11.1%
2025-04-14 07:27:55,11.0%
2025-04-14 07:28:00,12.2%
2025-04-14 07:28:05,11.2%
2025-04-14 07:28:10,11.1%
2025-04-14 07:28:15,11.1%
2025-04-14 07:28:20,12.6%
2025-04-14 07:28:25,12.2%
2025-04-14 07:28:30,11.1%
2025-04-14 07:28:35,11.0%
2025-04-14 07:28:40,11.1%
2025-04-14 07:28:45,12.2%
2025-04-14 07:28:50,11.1%
2025-04-14 07:28:55,11.0%
2025-04-14 07:29:00,11.1%
2025-04-14 07:29:05,11.1%
2025-04-14 07:29:10,11.0%
