"Time","Postgres"
2025-04-14 07:24:10,0.0169%
2025-04-14 07:24:15,0.0155%
2025-04-14 07:24:20,0.0170%
2025-04-14 07:24:25,0.0161%
2025-04-14 07:24:30,0.0165%
2025-04-14 07:24:35,0.0161%
2025-04-14 07:24:40,0.0168%
2025-04-14 07:24:45,0.0161%
2025-04-14 07:24:50,0.0154%
2025-04-14 07:24:55,0.0164%
2025-04-14 07:25:00,0.0162%
2025-04-14 07:25:05,0.0348%
2025-04-14 07:25:10,0.0148%
2025-04-14 07:25:15,0.0140%
2025-04-14 07:25:20,0.0130%
2025-04-14 07:25:25,0.0135%
2025-04-14 07:25:30,0.0139%
2025-04-14 07:25:35,0.0148%
2025-04-14 07:25:40,0.0149%
2025-04-14 07:25:45,0.0155%
2025-04-14 07:25:50,0.0137%
2025-04-14 07:25:55,0.0146%
2025-04-14 07:26:00,0.0141%
2025-04-14 07:26:05,0.0346%
2025-04-14 07:26:10,0.0141%
2025-04-14 07:26:15,0.0134%
2025-04-14 07:26:20,0.0141%
2025-04-14 07:26:25,0.0143%
2025-04-14 07:26:30,0.0136%
2025-04-14 07:26:35,0.0138%
2025-04-14 07:26:40,0.0152%
2025-04-14 07:26:45,0.0146%
2025-04-14 07:26:50,0.0138%
2025-04-14 07:26:55,0.0146%
2025-04-14 07:27:00,0.0140%
2025-04-14 07:27:05,0.0305%
2025-04-14 07:27:10,0.0140%
2025-04-14 07:27:15,0.0141%
2025-04-14 07:27:20,0.0134%
2025-04-14 07:27:25,0.0141%
2025-04-14 07:27:30,0.0133%
2025-04-14 07:27:35,0.0138%
2025-04-14 07:27:40,0.0138%
2025-04-14 07:27:45,0.0148%
2025-04-14 07:27:50,0.0149%
2025-04-14 07:27:55,0.0150%
2025-04-14 07:28:00,0.0137%
2025-04-14 07:28:05,0.0390%
2025-04-14 07:28:10,0.0169%
2025-04-14 07:28:15,0.0164%
2025-04-14 07:28:20,0.594%
2025-04-14 07:28:25,0.0230%
2025-04-14 07:28:30,0.0133%
2025-04-14 07:28:35,0.0168%
2025-04-14 07:28:40,0.0135%
2025-04-14 07:28:45,0.0139%
2025-04-14 07:28:50,0.0143%
2025-04-14 07:28:55,0.0149%
2025-04-14 07:29:00,0.0142%
2025-04-14 07:29:05,0.0314%
2025-04-14 07:29:10,0.0137%
