"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-14 07:46:07,5.51 W
2025-04-14 07:46:12,5.31 W
2025-04-14 07:46:17,5.33 W
2025-04-14 07:46:22,5.34 W
2025-04-14 07:46:27,5.38 W
2025-04-14 07:46:32,5.54 W
2025-04-14 07:46:37,5.58 W
2025-04-14 07:46:42,5.52 W
2025-04-14 07:46:47,5.70 W
2025-04-14 07:46:52,5.31 W
2025-04-14 07:46:57,5.79 W
2025-04-14 07:47:02,5.70 W
2025-04-14 07:47:07,5.51 W
2025-04-14 07:47:12,5.35 W
2025-04-14 07:47:17,5.79 W
2025-04-14 07:47:22,5.54 W
2025-04-14 07:47:27,5.57 W
2025-04-14 07:47:32,5.75 W
2025-04-14 07:47:37,5.77 W
2025-04-14 07:47:42,5.58 W
2025-04-14 07:47:47,5.35 W
2025-04-14 07:47:52,5.54 W
2025-04-14 07:47:57,5.71 W
2025-04-14 07:48:02,5.74 W
2025-04-14 07:48:07,5.42 W
2025-04-14 07:48:12,5.72 W
2025-04-14 07:48:17,5.73 W
2025-04-14 07:48:22,5.50 W
2025-04-14 07:48:27,5.36 W
2025-04-14 07:48:32,5.50 W
2025-04-14 07:48:37,5.59 W
2025-04-14 07:48:42,5.56 W
2025-04-14 07:48:47,5.72 W
2025-04-14 07:48:52,5.51 W
2025-04-14 07:48:57,5.53 W
2025-04-14 07:49:02,5.58 W
2025-04-14 07:49:07,5.31 W
2025-04-14 07:49:12,5.77 W
2025-04-14 07:49:17,5.59 W
2025-04-14 07:49:22,5.34 W
2025-04-14 07:49:27,5.59 W
2025-04-14 07:49:32,5.57 W
2025-04-14 07:49:37,5.50 W
2025-04-14 07:49:42,5.50 W
2025-04-14 07:49:47,5.53 W
2025-04-14 07:49:52,5.59 W
2025-04-14 07:49:57,5.52 W
2025-04-14 07:50:02,5.59 W
2025-04-14 07:50:07,5.73 W
2025-04-14 07:50:12,5.77 W
2025-04-14 07:50:17,5.73 W
2025-04-14 07:50:22,6.10 W
2025-04-14 07:50:27,5.48 W
2025-04-14 07:50:32,5.03 W
2025-04-14 07:50:37,5.90 W
