"Time","Redis"
2025-04-14 07:24:10,1.92%
2025-04-14 07:24:15,1.89%
2025-04-14 07:24:20,1.89%
2025-04-14 07:24:25,1.91%
2025-04-14 07:24:30,1.93%
2025-04-14 07:24:35,1.93%
2025-04-14 07:24:40,1.92%
2025-04-14 07:24:45,1.90%
2025-04-14 07:24:50,1.79%
2025-04-14 07:24:55,1.93%
2025-04-14 07:25:00,1.97%
2025-04-14 07:25:05,1.86%
2025-04-14 07:25:10,1.90%
2025-04-14 07:25:15,1.90%
2025-04-14 07:25:20,1.87%
2025-04-14 07:25:25,1.94%
2025-04-14 07:25:30,1.92%
2025-04-14 07:25:35,1.96%
2025-04-14 07:25:40,1.85%
2025-04-14 07:25:45,1.95%
2025-04-14 07:25:50,1.94%
2025-04-14 07:25:55,1.95%
2025-04-14 07:26:00,1.96%
2025-04-14 07:26:05,1.95%
2025-04-14 07:26:10,1.98%
2025-04-14 07:26:15,1.94%
2025-04-14 07:26:20,1.90%
2025-04-14 07:26:25,1.96%
2025-04-14 07:26:30,1.83%
2025-04-14 07:26:35,1.93%
2025-04-14 07:26:40,1.95%
2025-04-14 07:26:45,1.89%
2025-04-14 07:26:50,1.86%
2025-04-14 07:26:55,1.84%
2025-04-14 07:27:00,1.89%
2025-04-14 07:27:05,1.91%
2025-04-14 07:27:10,1.79%
2025-04-14 07:27:15,1.88%
2025-04-14 07:27:20,1.84%
2025-04-14 07:27:25,1.86%
2025-04-14 07:27:30,1.85%
2025-04-14 07:27:35,1.83%
2025-04-14 07:27:40,1.98%
2025-04-14 07:27:45,1.82%
2025-04-14 07:27:50,1.88%
2025-04-14 07:27:55,1.84%
2025-04-14 07:28:00,1.80%
2025-04-14 07:28:05,1.96%
2025-04-14 07:28:10,1.86%
2025-04-14 07:28:15,1.87%
2025-04-14 07:28:20,1.82%
2025-04-14 07:28:25,1.86%
2025-04-14 07:28:30,1.87%
2025-04-14 07:28:35,1.89%
2025-04-14 07:28:40,1.85%
2025-04-14 07:28:45,1.80%
2025-04-14 07:28:50,1.86%
2025-04-14 07:28:55,1.85%
2025-04-14 07:29:00,1.91%
2025-04-14 07:29:05,1.89%
2025-04-14 07:29:10,1.86%
