"Time","Grouped CPU Load"
2025-04-03 15:14:00,49.6%
2025-04-03 15:14:05,50.8%
2025-04-03 15:14:10,49.7%
2025-04-03 15:14:15,50.4%
2025-04-03 15:14:20,49.9%
2025-04-03 15:14:25,50.4%
2025-04-03 15:14:30,50.3%
2025-04-03 15:14:35,50.8%
2025-04-03 15:14:40,50.5%
2025-04-03 15:14:45,50.3%
2025-04-03 15:14:50,49.7%
2025-04-03 15:14:55,50.2%
2025-04-03 15:15:00,50.9%
2025-04-03 15:15:05,49.9%
2025-04-03 15:15:10,51.1%
2025-04-03 15:15:15,49.2%
2025-04-03 15:15:20,49.7%
2025-04-03 15:15:25,49.6%
2025-04-03 15:15:30,51.7%
2025-04-03 15:15:35,51.0%
2025-04-03 15:15:40,50.7%
2025-04-03 15:15:45,49.4%
2025-04-03 15:15:50,51.2%
2025-04-03 15:15:55,49.7%
2025-04-03 15:16:00,49.9%
2025-04-03 15:16:05,49.5%
2025-04-03 15:16:10,50.7%
2025-04-03 15:16:15,50.0%
2025-04-03 15:16:20,50.1%
2025-04-03 15:16:25,50.0%
2025-04-03 15:16:30,50.2%
2025-04-03 15:16:35,49.3%
2025-04-03 15:16:40,51.0%
2025-04-03 15:16:45,50.6%
2025-04-03 15:16:50,49.5%
2025-04-03 15:16:55,50.9%
2025-04-03 15:17:00,49.9%
2025-04-03 15:17:05,50.5%
2025-04-03 15:17:10,49.9%
2025-04-03 15:17:15,50.5%
2025-04-03 15:17:20,50.3%
2025-04-03 15:17:25,50.3%
2025-04-03 15:17:30,50.6%
2025-04-03 15:17:35,51.2%
2025-04-03 15:17:40,49.5%
2025-04-03 15:17:45,50.1%
2025-04-03 15:17:50,50.0%
2025-04-03 15:17:55,51.0%
2025-04-03 15:18:00,49.0%
2025-04-03 15:18:05,51.7%
2025-04-03 15:18:10,49.8%
2025-04-03 15:18:15,50.9%
2025-04-03 15:18:20,51.0%
2025-04-03 15:18:25,49.2%
2025-04-03 15:18:30,50.7%
2025-04-03 15:18:35,50.4%
2025-04-03 15:18:40,49.8%
2025-04-03 15:18:45,51.4%
2025-04-03 15:18:50,49.0%
2025-04-03 15:18:55,50.6%
2025-04-03 15:19:00,50.2%
