"Time","Postgres"
2025-04-03 14:55:40,2.70%
2025-04-03 14:55:45,2.70%
2025-04-03 14:55:50,2.56%
2025-04-03 14:55:55,2.69%
2025-04-03 14:56:00,2.63%
2025-04-03 14:56:05,2.74%
2025-04-03 14:56:10,2.65%
2025-04-03 14:56:15,2.66%
2025-04-03 14:56:20,2.58%
2025-04-03 14:56:25,2.55%
2025-04-03 14:56:30,2.46%
2025-04-03 14:56:35,2.42%
2025-04-03 14:56:40,2.34%
2025-04-03 14:56:45,2.43%
2025-04-03 14:56:50,2.65%
2025-04-03 14:56:55,2.71%
2025-04-03 14:57:00,2.69%
2025-04-03 14:57:05,2.70%
2025-04-03 14:57:10,2.68%
2025-04-03 14:57:15,2.66%
2025-04-03 14:57:20,2.66%
2025-04-03 14:57:25,2.53%
2025-04-03 14:57:30,2.60%
2025-04-03 14:57:35,2.45%
2025-04-03 14:57:40,2.57%
2025-04-03 14:57:45,2.55%
2025-04-03 14:57:50,2.65%
2025-04-03 14:57:55,2.55%
2025-04-03 14:58:00,2.59%
2025-04-03 14:58:05,2.93%
2025-04-03 14:58:10,2.45%
2025-04-03 14:58:15,2.53%
2025-04-03 14:58:20,2.42%
2025-04-03 14:58:25,2.31%
2025-04-03 14:58:30,2.30%
2025-04-03 14:58:35,2.82%
2025-04-03 14:58:40,2.83%
2025-04-03 14:58:45,2.67%
2025-04-03 14:58:50,2.75%
2025-04-03 14:58:55,2.63%
2025-04-03 14:59:00,2.65%
2025-04-03 14:59:05,2.66%
2025-04-03 14:59:10,2.49%
2025-04-03 14:59:15,2.52%
2025-04-03 14:59:20,2.47%
2025-04-03 14:59:25,2.71%
2025-04-03 14:59:30,2.58%
2025-04-03 14:59:35,2.43%
2025-04-03 14:59:40,2.53%
2025-04-03 14:59:45,2.45%
2025-04-03 14:59:50,2.59%
2025-04-03 14:59:55,2.48%
2025-04-03 15:00:00,2.43%
2025-04-03 15:00:05,2.23%
2025-04-03 15:00:10,2.89%
2025-04-03 15:00:15,2.82%
2025-04-03 15:00:20,2.79%
2025-04-03 15:00:25,2.83%
2025-04-03 15:00:30,2.75%
2025-04-03 15:00:35,2.69%
2025-04-03 15:00:40,2.67%
