"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 14:55:43,9.03 W
2025-04-03 14:55:48,8.36 W
2025-04-03 14:55:53,8.77 W
2025-04-03 14:55:58,9.17 W
2025-04-03 14:56:03,8.64 W
2025-04-03 14:56:08,8.96 W
2025-04-03 14:56:13,8.77 W
2025-04-03 14:56:18,7.98 W
2025-04-03 14:56:23,9.39 W
2025-04-03 14:56:28,8.66 W
2025-04-03 14:56:33,8.19 W
2025-04-03 14:56:38,7.65 W
2025-04-03 14:56:43,7.13 W
2025-04-03 14:56:48,7.39 W
2025-04-03 14:56:53,7.43 W
2025-04-03 14:56:58,7.14 W
2025-04-03 14:57:03,7.36 W
2025-04-03 14:57:08,10.5 W
2025-04-03 14:57:13,7.87 W
2025-04-03 14:57:18,8.56 W
2025-04-03 14:57:23,8.00 W
2025-04-03 14:57:28,8.73 W
2025-04-03 14:57:33,7.42 W
2025-04-03 14:57:38,8.29 W
2025-04-03 14:57:43,8.03 W
2025-04-03 14:57:48,8.76 W
2025-04-03 14:57:53,8.23 W
2025-04-03 14:57:58,8.21 W
2025-04-03 14:58:03,8.48 W
2025-04-03 14:58:08,7.42 W
2025-04-03 14:58:13,8.77 W
2025-04-03 14:58:18,8.31 W
2025-04-03 14:58:23,7.25 W
2025-04-03 14:58:28,8.85 W
2025-04-03 14:58:33,8.94 W
2025-04-03 14:58:38,7.76 W
2025-04-03 14:58:43,8.11 W
2025-04-03 14:58:48,9.01 W
2025-04-03 14:58:53,7.91 W
2025-04-03 14:58:58,8.28 W
2025-04-03 14:59:03,8.72 W
2025-04-03 14:59:08,7.67 W
2025-04-03 14:59:13,7.82 W
2025-04-03 14:59:18,7.36 W
2025-04-03 14:59:23,9.91 W
2025-04-03 14:59:28,8.42 W
2025-04-03 14:59:33,7.77 W
2025-04-03 14:59:38,9.02 W
2025-04-03 14:59:43,9.46 W
2025-04-03 14:59:48,9.65 W
2025-04-03 14:59:53,8.59 W
2025-04-03 14:59:58,8.86 W
2025-04-03 15:00:03,9.08 W
2025-04-03 15:00:08,9.91 W
2025-04-03 15:00:13,8.39 W
