"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-23 11:54:50,7.41%
2025-04-23 11:54:55,8.71%
2025-04-23 11:55:00,8.63%
2025-04-23 11:55:05,8.64%
2025-04-23 11:55:10,8.56%
2025-04-23 11:55:15,8.56%
2025-04-23 11:55:20,8.54%
2025-04-23 11:55:25,11.2%
2025-04-23 11:55:30,11.8%
2025-04-23 11:55:35,11.8%
2025-04-23 11:55:40,8.49%
2025-04-23 11:55:45,8.53%
2025-04-23 11:55:50,8.47%
2025-04-23 11:55:55,8.55%
2025-04-23 11:56:00,8.51%
2025-04-23 11:56:05,8.54%
2025-04-23 11:56:10,8.46%
2025-04-23 11:56:15,8.55%
2025-04-23 11:56:20,8.54%
2025-04-23 11:56:25,8.56%
2025-04-23 11:56:30,8.54%
2025-04-23 11:56:35,8.54%
2025-04-23 11:56:40,8.54%
2025-04-23 11:56:45,8.49%
2025-04-23 11:56:50,8.51%
2025-04-23 11:56:55,8.49%
2025-04-23 11:57:00,8.53%
2025-04-23 11:57:05,8.54%
2025-04-23 11:57:10,8.53%
2025-04-23 11:57:15,11.4%
2025-04-23 11:57:20,8.54%
2025-04-23 11:57:25,8.58%
2025-04-23 11:57:30,8.54%
2025-04-23 11:57:35,8.53%
2025-04-23 11:57:40,8.51%
2025-04-23 11:57:45,8.53%
2025-04-23 11:57:50,8.52%
2025-04-23 11:57:55,8.52%
2025-04-23 11:58:00,8.51%
2025-04-23 11:58:05,8.50%
2025-04-23 11:58:10,12.3%
2025-04-23 11:58:15,8.48%
2025-04-23 11:58:20,8.55%
2025-04-23 11:58:25,8.59%
2025-04-23 11:58:30,8.57%
2025-04-23 11:58:35,8.56%
2025-04-23 11:58:40,8.55%
2025-04-23 11:58:45,8.55%
2025-04-23 11:58:50,8.56%
2025-04-23 11:58:55,12.9%
2025-04-23 11:59:00,12.9%
2025-04-23 11:59:05,8.53%
2025-04-23 11:59:10,8.55%
2025-04-23 11:59:15,8.53%
2025-04-23 11:59:20,8.55%
2025-04-23 11:59:25,8.54%
2025-04-23 11:59:30,8.53%
2025-04-23 11:59:35,8.46%
2025-04-23 11:59:40,8.56%
2025-04-23 11:59:45,8.38%
2025-04-23 11:59:50,8.54%
