"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-13 13:27:46,6.21 W
2025-04-13 13:27:51,5.39 W
2025-04-13 13:27:56,5.35 W
2025-04-13 13:28:01,5.39 W
2025-04-13 13:28:06,5.50 W
2025-04-13 13:28:11,5.49 W
2025-04-13 13:28:16,5.40 W
2025-04-13 13:28:21,5.22 W
2025-04-13 13:28:26,5.31 W
2025-04-13 13:28:31,5.36 W
2025-04-13 13:28:36,5.40 W
2025-04-13 13:28:41,5.36 W
2025-04-13 13:28:46,5.52 W
2025-04-13 13:28:51,5.28 W
2025-04-13 13:28:56,5.57 W
2025-04-13 13:29:01,5.38 W
2025-04-13 13:29:06,5.19 W
2025-04-13 13:29:11,5.52 W
2025-04-13 13:29:16,5.16 W
2025-04-13 13:29:21,5.21 W
2025-04-13 13:29:26,5.23 W
2025-04-13 13:29:31,5.34 W
2025-04-13 13:29:36,5.32 W
2025-04-13 13:29:41,5.27 W
2025-04-13 13:29:46,5.23 W
2025-04-13 13:29:51,5.22 W
2025-04-13 13:29:56,5.14 W
2025-04-13 13:30:01,5.31 W
2025-04-13 13:30:06,5.27 W
2025-04-13 13:30:11,5.46 W
2025-04-13 13:30:16,5.27 W
2025-04-13 13:30:21,5.28 W
2025-04-13 13:30:26,5.26 W
2025-04-13 13:30:31,5.43 W
2025-04-13 13:30:36,5.25 W
2025-04-13 13:30:41,5.21 W
2025-04-13 13:30:46,5.24 W
2025-04-13 13:30:51,5.24 W
2025-04-13 13:30:56,5.16 W
2025-04-13 13:31:01,5.14 W
2025-04-13 13:31:06,5.13 W
2025-04-13 13:31:11,5.40 W
2025-04-13 13:31:16,5.30 W
2025-04-13 13:31:21,5.24 W
2025-04-13 13:31:26,5.49 W
2025-04-13 13:31:31,5.30 W
2025-04-13 13:31:36,5.09 W
2025-04-13 13:31:41,5.12 W
2025-04-13 13:31:46,5.11 W
2025-04-13 13:31:51,5.09 W
2025-04-13 13:31:56,5.03 W
2025-04-13 13:32:01,5.12 W
2025-04-13 13:32:06,5.07 W
2025-04-13 13:32:11,5.33 W
2025-04-13 13:32:16,5.28 W
