"Time","Redis"
2025-04-13 13:21:45,1.15%
2025-04-13 13:21:50,1.21%
2025-04-13 13:21:55,1.20%
2025-04-13 13:22:00,1.20%
2025-04-13 13:22:05,1.17%
2025-04-13 13:22:10,1.23%
2025-04-13 13:22:15,1.20%
2025-04-13 13:22:20,1.22%
2025-04-13 13:22:25,1.20%
2025-04-13 13:22:30,1.20%
2025-04-13 13:22:35,1.24%
2025-04-13 13:22:40,1.16%
2025-04-13 13:22:45,1.22%
2025-04-13 13:22:50,1.24%
2025-04-13 13:22:55,1.21%
2025-04-13 13:23:00,1.21%
2025-04-13 13:23:05,1.21%
2025-04-13 13:23:10,1.19%
2025-04-13 13:23:15,1.26%
2025-04-13 13:23:20,1.23%
2025-04-13 13:23:25,1.19%
2025-04-13 13:23:30,1.16%
2025-04-13 13:23:35,1.24%
2025-04-13 13:23:40,1.21%
2025-04-13 13:23:45,1.24%
2025-04-13 13:23:50,1.24%
2025-04-13 13:23:55,1.21%
2025-04-13 13:24:00,1.19%
2025-04-13 13:24:05,1.22%
2025-04-13 13:24:10,1.23%
2025-04-13 13:24:15,1.27%
2025-04-13 13:24:20,1.17%
2025-04-13 13:24:25,1.23%
2025-04-13 13:24:30,1.21%
2025-04-13 13:24:35,1.21%
2025-04-13 13:24:40,1.24%
2025-04-13 13:24:45,1.23%
2025-04-13 13:24:50,1.21%
2025-04-13 13:24:55,1.18%
2025-04-13 13:25:00,1.17%
2025-04-13 13:25:05,1.28%
2025-04-13 13:25:10,1.19%
2025-04-13 13:25:15,1.23%
2025-04-13 13:25:20,1.23%
2025-04-13 13:25:25,1.21%
2025-04-13 13:25:30,1.19%
2025-04-13 13:25:35,1.20%
2025-04-13 13:25:40,1.17%
2025-04-13 13:25:45,1.26%
2025-04-13 13:25:50,1.25%
2025-04-13 13:25:55,1.21%
2025-04-13 13:26:00,1.18%
2025-04-13 13:26:05,1.22%
2025-04-13 13:26:10,1.25%
2025-04-13 13:26:15,1.25%
2025-04-13 13:26:20,1.26%
2025-04-13 13:26:25,1.21%
2025-04-13 13:26:30,1.20%
2025-04-13 13:26:35,1.20%
2025-04-13 13:26:40,1.26%
2025-04-13 13:26:45,1.20%
