"Time","GraphQL server"
2025-04-13 13:33:45,11.0%
2025-04-13 13:33:50,12.4%
2025-04-13 13:33:55,10.3%
2025-04-13 13:34:00,11.2%
2025-04-13 13:34:05,11.3%
2025-04-13 13:34:10,11.6%
2025-04-13 13:34:15,11.4%
2025-04-13 13:34:20,13.0%
2025-04-13 13:34:25,11.4%
2025-04-13 13:34:30,11.0%
2025-04-13 13:34:35,12.6%
2025-04-13 13:34:40,12.4%
2025-04-13 13:34:45,11.2%
2025-04-13 13:34:50,11.3%
2025-04-13 13:34:55,11.2%
2025-04-13 13:35:00,11.8%
2025-04-13 13:35:05,10.6%
2025-04-13 13:35:10,13.1%
2025-04-13 13:35:15,11.4%
2025-04-13 13:35:20,11.8%
2025-04-13 13:35:25,12.1%
2025-04-13 13:35:30,12.0%
2025-04-13 13:35:35,12.7%
2025-04-13 13:35:40,11.4%
2025-04-13 13:35:45,11.3%
2025-04-13 13:35:50,12.5%
2025-04-13 13:35:55,11.6%
2025-04-13 13:36:00,11.5%
2025-04-13 13:36:05,13.1%
2025-04-13 13:36:10,12.1%
2025-04-13 13:36:15,11.4%
2025-04-13 13:36:20,11.4%
2025-04-13 13:36:25,11.1%
2025-04-13 13:36:30,11.3%
2025-04-13 13:36:35,13.2%
2025-04-13 13:36:40,11.9%
2025-04-13 13:36:45,12.3%
2025-04-13 13:36:50,11.6%
2025-04-13 13:36:55,11.7%
2025-04-13 13:37:00,14.0%
2025-04-13 13:37:05,11.3%
2025-04-13 13:37:10,11.6%
2025-04-13 13:37:15,11.9%
2025-04-13 13:37:20,11.2%
2025-04-13 13:37:25,11.2%
2025-04-13 13:37:30,11.9%
2025-04-13 13:37:35,14.2%
2025-04-13 13:37:40,11.2%
2025-04-13 13:37:45,12.3%
2025-04-13 13:37:50,11.7%
2025-04-13 13:37:55,13.5%
2025-04-13 13:38:00,11.7%
2025-04-13 13:38:05,10.7%
2025-04-13 13:38:10,11.1%
2025-04-13 13:38:15,12.6%
2025-04-13 13:38:20,11.8%
2025-04-13 13:38:25,12.1%
2025-04-13 13:38:30,11.0%
2025-04-13 13:38:35,13.8%
2025-04-13 13:38:40,11.4%
2025-04-13 13:38:45,12.0%
