"Time","Grouped CPU Load"
2025-04-07 09:59:25,34.7%
2025-04-07 09:59:30,34.0%
2025-04-07 09:59:35,36.4%
2025-04-07 09:59:40,34.9%
2025-04-07 09:59:45,36.7%
2025-04-07 09:59:50,34.9%
2025-04-07 09:59:55,36.3%
2025-04-07 10:00:00,35.1%
2025-04-07 10:00:05,37.1%
2025-04-07 10:00:10,34.2%
2025-04-07 10:00:15,34.8%
2025-04-07 10:00:20,36.0%
2025-04-07 10:00:25,34.6%
2025-04-07 10:00:30,36.6%
2025-04-07 10:00:35,35.4%
2025-04-07 10:00:40,37.8%
2025-04-07 10:00:45,34.5%
2025-04-07 10:00:50,37.8%
2025-04-07 10:00:55,34.6%
2025-04-07 10:01:00,34.9%
2025-04-07 10:01:05,35.7%
2025-04-07 10:01:10,33.9%
2025-04-07 10:01:15,35.4%
2025-04-07 10:01:20,34.0%
2025-04-07 10:01:25,35.3%
2025-04-07 10:01:30,34.6%
2025-04-07 10:01:35,37.1%
2025-04-07 10:01:40,34.8%
2025-04-07 10:01:45,35.1%
2025-04-07 10:01:50,36.2%
2025-04-07 10:01:55,34.0%
2025-04-07 10:02:00,37.7%
2025-04-07 10:02:05,35.4%
2025-04-07 10:02:10,37.0%
2025-04-07 10:02:15,36.2%
2025-04-07 10:02:20,36.9%
2025-04-07 10:02:25,36.0%
2025-04-07 10:02:30,35.7%
2025-04-07 10:02:35,36.7%
2025-04-07 10:02:40,35.2%
2025-04-07 10:02:45,37.6%
2025-04-07 10:02:50,35.7%
2025-04-07 10:02:55,36.5%
2025-04-07 10:03:00,33.7%
2025-04-07 10:03:05,35.6%
2025-04-07 10:03:10,37.2%
2025-04-07 10:03:15,35.1%
2025-04-07 10:03:20,38.0%
2025-04-07 10:03:25,34.8%
2025-04-07 10:03:30,34.8%
2025-04-07 10:03:35,36.3%
2025-04-07 10:03:40,34.7%
2025-04-07 10:03:45,36.5%
2025-04-07 10:03:50,34.9%
2025-04-07 10:03:55,36.7%
2025-04-07 10:04:00,35.3%
2025-04-07 10:04:05,37.4%
2025-04-07 10:04:10,34.8%
2025-04-07 10:04:15,37.3%
2025-04-07 10:04:20,34.6%
2025-04-07 10:04:25,35.4%
