"Time","Postgres"
2025-04-07 10:19:40,2.52%
2025-04-07 10:19:45,2.38%
2025-04-07 10:19:50,2.50%
2025-04-07 10:19:55,2.36%
2025-04-07 10:20:00,2.47%
2025-04-07 10:20:05,2.38%
2025-04-07 10:20:10,2.46%
2025-04-07 10:20:15,2.38%
2025-04-07 10:20:20,2.48%
2025-04-07 10:20:25,2.37%
2025-04-07 10:20:30,2.50%
2025-04-07 10:20:35,2.38%
2025-04-07 10:20:40,2.50%
2025-04-07 10:20:45,2.45%
2025-04-07 10:20:50,2.45%
2025-04-07 10:20:55,2.36%
2025-04-07 10:21:00,2.44%
2025-04-07 10:21:05,2.37%
2025-04-07 10:21:10,2.40%
2025-04-07 10:21:15,2.43%
2025-04-07 10:21:20,2.39%
2025-04-07 10:21:25,2.38%
2025-04-07 10:21:30,2.44%
2025-04-07 10:21:35,2.40%
2025-04-07 10:21:40,2.89%
2025-04-07 10:21:45,2.35%
2025-04-07 10:21:50,2.27%
2025-04-07 10:21:55,2.40%
2025-04-07 10:22:00,2.30%
2025-04-07 10:22:05,2.40%
2025-04-07 10:22:10,2.32%
2025-04-07 10:22:15,2.42%
2025-04-07 10:22:20,2.33%
2025-04-07 10:22:25,2.33%
2025-04-07 10:22:30,2.35%
2025-04-07 10:22:35,2.30%
2025-04-07 10:22:40,2.36%
2025-04-07 10:22:45,2.25%
2025-04-07 10:22:50,2.40%
2025-04-07 10:22:55,2.27%
2025-04-07 10:23:00,2.37%
2025-04-07 10:23:05,2.27%
2025-04-07 10:23:10,2.34%
2025-04-07 10:23:15,2.36%
2025-04-07 10:23:20,2.28%
2025-04-07 10:23:25,2.39%
2025-04-07 10:23:30,2.25%
2025-04-07 10:23:35,2.36%
2025-04-07 10:23:40,2.28%
2025-04-07 10:23:45,2.34%
2025-04-07 10:23:50,2.30%
2025-04-07 10:23:55,2.28%
2025-04-07 10:24:00,2.38%
2025-04-07 10:24:05,2.23%
2025-04-07 10:24:10,2.39%
2025-04-07 10:24:15,2.31%
2025-04-07 10:24:20,2.38%
2025-04-07 10:24:25,2.31%
2025-04-07 10:24:30,2.25%
2025-04-07 10:24:35,2.36%
2025-04-07 10:24:40,2.24%
