"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-07 09:53:03,6.17 W
2025-04-07 09:53:08,6.20 W
2025-04-07 09:53:13,6.18 W
2025-04-07 09:53:18,6.17 W
2025-04-07 09:53:23,6.28 W
2025-04-07 09:53:28,6.15 W
2025-04-07 09:53:33,6.04 W
2025-04-07 09:53:38,6.25 W
2025-04-07 09:53:44,6.22 W
2025-04-07 09:53:49,6.28 W
2025-04-07 09:53:54,6.12 W
2025-04-07 09:53:59,6.20 W
2025-04-07 09:54:04,6.13 W
2025-04-07 09:54:09,6.04 W
2025-04-07 09:54:14,6.03 W
2025-04-07 09:54:19,5.95 W
2025-04-07 09:54:24,6.12 W
2025-04-07 09:54:29,6.16 W
2025-04-07 09:54:34,6.10 W
2025-04-07 09:54:39,6.12 W
2025-04-07 09:54:44,6.42 W
2025-04-07 09:54:49,5.98 W
2025-04-07 09:54:54,6.13 W
2025-04-07 09:54:59,6.16 W
2025-04-07 09:55:04,6.26 W
2025-04-07 09:55:09,6.22 W
2025-04-07 09:55:14,6.12 W
2025-04-07 09:55:19,6.21 W
2025-04-07 09:55:24,6.24 W
2025-04-07 09:55:29,6.22 W
2025-04-07 09:55:34,6.30 W
2025-04-07 09:55:39,6.23 W
2025-04-07 09:55:44,6.21 W
2025-04-07 09:55:49,6.18 W
2025-04-07 09:55:54,6.10 W
2025-04-07 09:55:59,6.03 W
2025-04-07 09:56:04,6.13 W
2025-04-07 09:56:09,6.08 W
2025-04-07 09:56:14,6.08 W
2025-04-07 09:56:19,6.09 W
2025-04-07 09:56:24,6.04 W
2025-04-07 09:56:29,6.15 W
2025-04-07 09:56:34,6.31 W
2025-04-07 09:56:39,6.28 W
2025-04-07 09:56:44,6.12 W
2025-04-07 09:56:49,6.25 W
2025-04-07 09:56:54,6.42 W
2025-04-07 09:56:59,6.34 W
2025-04-07 09:57:04,6.20 W
2025-04-07 09:57:09,6.17 W
2025-04-07 09:57:14,6.16 W
2025-04-07 09:57:19,6.27 W
2025-04-07 09:57:24,6.15 W
2025-04-07 09:57:29,6.03 W
2025-04-07 09:57:34,6.23 W
