"Time","Redis"
2025-04-07 09:53:00,0.0598%
2025-04-07 09:53:05,0.0622%
2025-04-07 09:53:10,0.0619%
2025-04-07 09:53:15,0.0621%
2025-04-07 09:53:20,0.0622%
2025-04-07 09:53:25,0.0595%
2025-04-07 09:53:30,0.0615%
2025-04-07 09:53:35,0.0623%
2025-04-07 09:53:40,0.0623%
2025-04-07 09:53:45,0.0593%
2025-04-07 09:53:50,0.0595%
2025-04-07 09:53:55,0.0599%
2025-04-07 09:54:00,0.0629%
2025-04-07 09:54:05,0.0608%
2025-04-07 09:54:10,0.0634%
2025-04-07 09:54:15,0.0617%
2025-04-07 09:54:20,0.0604%
2025-04-07 09:54:25,0.0618%
2025-04-07 09:54:30,0.0633%
2025-04-07 09:54:35,0.0623%
2025-04-07 09:54:40,0.0616%
2025-04-07 09:54:45,0.0596%
2025-04-07 09:54:50,0.0652%
2025-04-07 09:54:55,0.0619%
2025-04-07 09:55:00,0.0636%
2025-04-07 09:55:05,0.0611%
2025-04-07 09:55:10,0.0620%
2025-04-07 09:55:15,0.0600%
2025-04-07 09:55:20,0.0622%
2025-04-07 09:55:25,0.0651%
2025-04-07 09:55:30,0.0611%
2025-04-07 09:55:35,0.0626%
2025-04-07 09:55:40,0.0659%
2025-04-07 09:55:45,0.0632%
2025-04-07 09:55:50,0.0625%
2025-04-07 09:55:55,0.0618%
2025-04-07 09:56:00,0.0605%
2025-04-07 09:56:05,0.0592%
2025-04-07 09:56:10,0.0626%
2025-04-07 09:56:15,0.0608%
2025-04-07 09:56:20,0.0621%
2025-04-07 09:56:25,0.0621%
2025-04-07 09:56:30,0.0589%
2025-04-07 09:56:35,0.0633%
2025-04-07 09:56:40,0.0657%
2025-04-07 09:56:45,0.0620%
2025-04-07 09:56:50,0.0616%
2025-04-07 09:56:55,0.0662%
2025-04-07 09:57:00,0.0622%
2025-04-07 09:57:05,0.0624%
2025-04-07 09:57:10,0.0617%
2025-04-07 09:57:15,0.0634%
2025-04-07 09:57:20,0.0602%
2025-04-07 09:57:25,0.0617%
2025-04-07 09:57:30,0.0595%
2025-04-07 09:57:35,0.0625%
2025-04-07 09:57:40,0.0638%
2025-04-07 09:57:45,0.0641%
2025-04-07 09:57:50,0.0601%
2025-04-07 09:57:55,0.0600%
2025-04-07 09:58:00,0.0629%
