"Time","GraphQL server"
2025-04-07 10:07:35,29.8%
2025-04-07 10:07:40,27.0%
2025-04-07 10:07:45,27.2%
2025-04-07 10:07:50,28.8%
2025-04-07 10:07:55,31.3%
2025-04-07 10:08:00,29.7%
2025-04-07 10:08:05,32.3%
2025-04-07 10:08:10,33.1%
2025-04-07 10:08:15,31.4%
2025-04-07 10:08:20,33.9%
2025-04-07 10:08:25,30.4%
2025-04-07 10:08:30,32.6%
2025-04-07 10:08:35,34.1%
2025-04-07 10:08:40,31.9%
2025-04-07 10:08:45,34.6%
2025-04-07 10:08:50,33.4%
2025-04-07 10:08:55,30.4%
2025-04-07 10:09:00,34.8%
2025-04-07 10:09:05,32.4%
2025-04-07 10:09:10,33.6%
2025-04-07 10:09:15,34.5%
2025-04-07 10:09:20,32.1%
2025-04-07 10:09:25,33.5%
2025-04-07 10:09:30,34.0%
2025-04-07 10:09:35,32.3%
2025-04-07 10:09:40,33.9%
2025-04-07 10:09:45,33.4%
2025-04-07 10:09:50,32.8%
2025-04-07 10:09:55,34.1%
2025-04-07 10:10:00,31.7%
2025-04-07 10:10:05,32.5%
2025-04-07 10:10:10,35.0%
2025-04-07 10:10:15,32.2%
2025-04-07 10:10:20,34.2%
2025-04-07 10:10:25,33.9%
2025-04-07 10:10:30,31.5%
2025-04-07 10:10:35,35.1%
2025-04-07 10:10:40,32.0%
2025-04-07 10:10:45,32.9%
2025-04-07 10:10:50,36.4%
2025-04-07 10:10:55,31.8%
2025-04-07 10:11:00,32.4%
2025-04-07 10:11:05,35.0%
2025-04-07 10:11:10,30.6%
2025-04-07 10:11:15,32.9%
2025-04-07 10:11:20,34.2%
2025-04-07 10:11:25,31.3%
2025-04-07 10:11:30,33.0%
2025-04-07 10:11:35,33.5%
2025-04-07 10:11:40,32.2%
2025-04-07 10:11:45,34.4%
2025-04-07 10:11:50,31.8%
2025-04-07 10:11:55,31.8%
2025-04-07 10:12:00,34.7%
2025-04-07 10:12:05,30.9%
2025-04-07 10:12:10,31.8%
2025-04-07 10:12:15,34.1%
2025-04-07 10:12:20,31.5%
2025-04-07 10:12:25,32.8%
2025-04-07 10:12:30,34.7%
2025-04-07 10:12:35,31.2%
