"Time","Grouped CPU Load"
2025-04-07 10:35:15,74.3%
2025-04-07 10:35:20,80.1%
2025-04-07 10:35:25,79.3%
2025-04-07 10:35:30,80.1%
2025-04-07 10:35:35,79.5%
2025-04-07 10:35:40,81.3%
2025-04-07 10:35:45,79.9%
2025-04-07 10:35:50,80.5%
2025-04-07 10:35:55,78.6%
2025-04-07 10:36:00,79.1%
2025-04-07 10:36:05,79.5%
2025-04-07 10:36:10,79.1%
2025-04-07 10:36:15,81.3%
2025-04-07 10:36:20,76.6%
2025-04-07 10:36:25,80.1%
2025-04-07 10:36:30,79.5%
2025-04-07 10:36:35,82.1%
2025-04-07 10:36:40,77.8%
2025-04-07 10:36:45,79.4%
2025-04-07 10:36:50,79.6%
2025-04-07 10:36:55,81.4%
2025-04-07 10:37:00,78.2%
2025-04-07 10:37:05,80.0%
2025-04-07 10:37:10,79.7%
2025-04-07 10:37:15,79.4%
2025-04-07 10:37:20,81.8%
2025-04-07 10:37:25,78.3%
2025-04-07 10:37:30,79.9%
2025-04-07 10:37:35,79.1%
2025-04-07 10:37:40,79.1%
2025-04-07 10:37:45,79.7%
2025-04-07 10:37:50,78.9%
2025-04-07 10:37:55,78.8%
2025-04-07 10:38:00,79.9%
2025-04-07 10:38:05,78.5%
2025-04-07 10:38:10,81.4%
2025-04-07 10:38:15,79.3%
2025-04-07 10:38:20,78.8%
2025-04-07 10:38:25,76.9%
2025-04-07 10:38:30,80.3%
2025-04-07 10:38:35,78.1%
2025-04-07 10:38:40,79.9%
2025-04-07 10:38:45,80.4%
2025-04-07 10:38:50,80.9%
2025-04-07 10:38:55,78.5%
2025-04-07 10:39:00,79.8%
2025-04-07 10:39:05,78.5%
2025-04-07 10:39:10,79.8%
2025-04-07 10:39:15,81.2%
2025-04-07 10:39:20,79.6%
2025-04-07 10:39:25,79.9%
2025-04-07 10:39:30,78.2%
2025-04-07 10:39:35,79.4%
2025-04-07 10:39:40,79.8%
2025-04-07 10:39:45,80.3%
2025-04-07 10:39:50,81.7%
2025-04-07 10:39:55,78.5%
2025-04-07 10:40:00,80.1%
2025-04-07 10:40:05,78.6%
2025-04-07 10:40:10,69.2%
2025-04-07 10:40:15,73.8%
