"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-23 11:34:10,76.2%
2025-04-23 11:34:15,77.4%
2025-04-23 11:34:20,76.3%
2025-04-23 11:34:25,75.6%
2025-04-23 11:34:30,77.7%
2025-04-23 11:34:35,74.5%
2025-04-23 11:34:40,74.3%
2025-04-23 11:34:45,74.3%
2025-04-23 11:34:50,59.3%
2025-04-23 11:34:55,70.6%
2025-04-23 11:35:00,74.3%
2025-04-23 11:35:05,74.4%
2025-04-23 11:35:10,70.8%
2025-04-23 11:35:15,70.8%
2025-04-23 11:35:20,66.8%
2025-04-23 11:35:25,66.8%
2025-04-23 11:35:30,61.6%
2025-04-23 11:35:35,64.2%
2025-04-23 11:35:40,64.4%
2025-04-23 11:35:45,64.6%
2025-04-23 11:35:50,60.0%
2025-04-23 11:35:55,60.0%
2025-04-23 11:36:00,70.9%
2025-04-23 11:36:05,71.0%
2025-04-23 11:36:10,74.9%
2025-04-23 11:36:15,73.1%
2025-04-23 11:36:20,68.2%
2025-04-23 11:36:25,74.6%
2025-04-23 11:36:30,74.6%
2025-04-23 11:36:35,65.9%
2025-04-23 11:36:40,67.6%
2025-04-23 11:36:45,67.6%
2025-04-23 11:36:50,72.9%
2025-04-23 11:36:55,72.8%
2025-04-23 11:37:00,69.6%
2025-04-23 11:37:05,72.1%
2025-04-23 11:37:10,72.1%
2025-04-23 11:37:15,76.8%
2025-04-23 11:37:20,71.1%
2025-04-23 11:37:25,77.9%
2025-04-23 11:37:30,77.9%
2025-04-23 11:37:35,73.3%
2025-04-23 11:37:40,77.3%
2025-04-23 11:37:45,76.7%
2025-04-23 11:37:50,73.4%
2025-04-23 11:37:55,73.4%
2025-04-23 11:38:00,70.7%
2025-04-23 11:38:05,73.5%
2025-04-23 11:38:10,77.1%
2025-04-23 11:38:15,77.1%
2025-04-23 11:38:20,74.4%
2025-04-23 11:38:25,78.0%
2025-04-23 11:38:30,78.0%
2025-04-23 11:38:35,77.0%
2025-04-23 11:38:40,74.2%
2025-04-23 11:38:45,75.6%
2025-04-23 11:38:50,75.6%
2025-04-23 11:38:55,73.4%
2025-04-23 11:39:00,78.1%
2025-04-23 11:39:05,78.1%
2025-04-23 11:39:10,60.6%
