"Time","Postgres"
2025-04-07 10:35:15,1.51%
2025-04-07 10:35:20,1.77%
2025-04-07 10:35:25,1.58%
2025-04-07 10:35:30,1.82%
2025-04-07 10:35:35,1.60%
2025-04-07 10:35:40,1.62%
2025-04-07 10:35:45,1.63%
2025-04-07 10:35:50,1.66%
2025-04-07 10:35:55,1.67%
2025-04-07 10:36:00,1.65%
2025-04-07 10:36:05,1.74%
2025-04-07 10:36:10,1.78%
2025-04-07 10:36:15,1.53%
2025-04-07 10:36:20,1.65%
2025-04-07 10:36:25,1.73%
2025-04-07 10:36:30,1.74%
2025-04-07 10:36:35,1.52%
2025-04-07 10:36:40,1.60%
2025-04-07 10:36:45,1.65%
2025-04-07 10:36:50,1.75%
2025-04-07 10:36:55,1.65%
2025-04-07 10:37:00,1.55%
2025-04-07 10:37:05,2.39%
2025-04-07 10:37:10,2.14%
2025-04-07 10:37:15,1.75%
2025-04-07 10:37:20,1.77%
2025-04-07 10:37:25,1.74%
2025-04-07 10:37:30,1.73%
2025-04-07 10:37:35,1.70%
2025-04-07 10:37:40,1.65%
2025-04-07 10:37:45,1.67%
2025-04-07 10:37:50,1.66%
2025-04-07 10:37:55,1.70%
2025-04-07 10:38:00,1.75%
2025-04-07 10:38:05,1.76%
2025-04-07 10:38:10,1.69%
2025-04-07 10:38:15,1.64%
2025-04-07 10:38:20,1.69%
2025-04-07 10:38:25,1.68%
2025-04-07 10:38:30,1.74%
2025-04-07 10:38:35,1.71%
2025-04-07 10:38:40,1.65%
2025-04-07 10:38:45,1.71%
2025-04-07 10:38:50,1.73%
2025-04-07 10:38:55,1.59%
2025-04-07 10:39:00,1.64%
2025-04-07 10:39:05,1.71%
2025-04-07 10:39:10,1.67%
2025-04-07 10:39:15,1.82%
2025-04-07 10:39:20,1.63%
2025-04-07 10:39:25,1.66%
2025-04-07 10:39:30,1.85%
2025-04-07 10:39:35,1.70%
2025-04-07 10:39:40,1.65%
2025-04-07 10:39:45,1.75%
2025-04-07 10:39:50,1.63%
2025-04-07 10:39:55,1.69%
2025-04-07 10:40:00,1.66%
2025-04-07 10:40:05,1.71%
2025-04-07 10:40:10,2.06%
2025-04-07 10:40:15,1.98%
