"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-07 10:50:51,8.00 W
2025-04-07 10:50:56,8.28 W
2025-04-07 10:51:01,7.99 W
2025-04-07 10:51:06,8.10 W
2025-04-07 10:51:11,8.06 W
2025-04-07 10:51:16,8.00 W
2025-04-07 10:51:21,8.02 W
2025-04-07 10:51:26,8.06 W
2025-04-07 10:51:31,8.00 W
2025-04-07 10:51:36,8.09 W
2025-04-07 10:51:41,8.02 W
2025-04-07 10:51:46,7.74 W
2025-04-07 10:51:51,7.77 W
2025-04-07 10:51:56,7.79 W
2025-04-07 10:52:01,7.57 W
2025-04-07 10:52:06,7.87 W
2025-04-07 10:52:11,7.74 W
2025-04-07 10:52:16,7.79 W
2025-04-07 10:52:21,7.94 W
2025-04-07 10:52:26,8.76 W
2025-04-07 10:52:31,8.03 W
2025-04-07 10:52:36,7.79 W
2025-04-07 10:52:41,8.04 W
2025-04-07 10:52:46,7.73 W
2025-04-07 10:52:51,7.91 W
2025-04-07 10:52:56,7.95 W
2025-04-07 10:53:01,7.89 W
2025-04-07 10:53:06,7.84 W
2025-04-07 10:53:11,7.91 W
2025-04-07 10:53:16,8.05 W
2025-04-07 10:53:21,7.95 W
2025-04-07 10:53:26,8.03 W
2025-04-07 10:53:31,7.72 W
2025-04-07 10:53:36,7.73 W
2025-04-07 10:53:41,7.88 W
2025-04-07 10:53:46,8.08 W
2025-04-07 10:53:51,7.89 W
2025-04-07 10:53:56,8.05 W
2025-04-07 10:54:01,7.86 W
2025-04-07 10:54:06,7.82 W
2025-04-07 10:54:11,7.99 W
2025-04-07 10:54:16,8.10 W
2025-04-07 10:54:21,7.91 W
2025-04-07 10:54:26,7.81 W
2025-04-07 10:54:31,7.68 W
2025-04-07 10:54:36,7.88 W
2025-04-07 10:54:41,7.98 W
2025-04-07 10:54:46,7.95 W
2025-04-07 10:54:51,7.85 W
2025-04-07 10:54:56,8.05 W
2025-04-07 10:55:01,8.06 W
2025-04-07 10:55:06,7.76 W
2025-04-07 10:55:11,8.05 W
2025-04-07 10:55:16,7.93 W
2025-04-07 10:55:21,8.08 W
