"Time","Redis"
2025-04-14 10:21:45,0.0737%
2025-04-14 10:21:50,0.0741%
2025-04-14 10:21:55,0.0723%
2025-04-14 10:22:00,0.0733%
2025-04-14 10:22:05,0.0745%
2025-04-14 10:22:10,0.0739%
2025-04-14 10:22:15,0.0738%
2025-04-14 10:22:20,0.0739%
2025-04-14 10:22:25,0.0732%
2025-04-14 10:22:30,0.0735%
2025-04-14 10:22:35,0.0735%
2025-04-14 10:22:40,0.0731%
2025-04-14 10:22:45,0.0741%
2025-04-14 10:22:50,0.0723%
2025-04-14 10:22:55,0.0742%
2025-04-14 10:23:00,0.0727%
2025-04-14 10:23:05,0.0740%
2025-04-14 10:23:10,0.0736%
2025-04-14 10:23:15,0.0741%
2025-04-14 10:23:20,0.0751%
2025-04-14 10:23:25,0.0721%
2025-04-14 10:23:30,0.0754%
2025-04-14 10:23:35,0.0722%
2025-04-14 10:23:40,0.0756%
2025-04-14 10:23:45,0.0739%
2025-04-14 10:23:50,0.0744%
2025-04-14 10:23:55,0.0738%
2025-04-14 10:24:00,0.0745%
2025-04-14 10:24:05,0.0744%
2025-04-14 10:24:10,0.0737%
2025-04-14 10:24:15,0.0741%
2025-04-14 10:24:20,0.0734%
2025-04-14 10:24:25,0.0728%
2025-04-14 10:24:30,0.0745%
2025-04-14 10:24:35,0.0739%
2025-04-14 10:24:40,0.0740%
2025-04-14 10:24:45,0.0728%
2025-04-14 10:24:50,0.0746%
2025-04-14 10:24:55,0.0724%
2025-04-14 10:25:00,0.0754%
2025-04-14 10:25:05,0.0727%
2025-04-14 10:25:10,0.0736%
2025-04-14 10:25:15,0.0743%
2025-04-14 10:25:20,0.0746%
2025-04-14 10:25:25,0.0720%
2025-04-14 10:25:30,0.0735%
2025-04-14 10:25:35,0.0739%
2025-04-14 10:25:40,0.0731%
2025-04-14 10:25:45,0.0742%
2025-04-14 10:25:50,0.0729%
2025-04-14 10:25:55,0.0739%
2025-04-14 10:26:00,0.0738%
2025-04-14 10:26:05,0.0741%
2025-04-14 10:26:10,0.0739%
2025-04-14 10:26:15,0.0735%
2025-04-14 10:26:20,0.0745%
2025-04-14 10:26:25,0.0732%
2025-04-14 10:26:30,0.0756%
2025-04-14 10:26:35,0.0734%
2025-04-14 10:26:40,0.0759%
2025-04-14 10:26:45,0.0733%
