"Time","Grouped CPU Load"
2025-04-07 11:47:10,68.8%
2025-04-07 11:47:15,73.4%
2025-04-07 11:47:20,81.5%
2025-04-07 11:47:25,76.4%
2025-04-07 11:47:30,72.2%
2025-04-07 11:47:35,76.0%
2025-04-07 11:47:40,76.2%
2025-04-07 11:47:45,74.8%
2025-04-07 11:47:50,77.3%
2025-04-07 11:47:55,74.9%
2025-04-07 11:48:00,74.5%
2025-04-07 11:48:05,75.1%
2025-04-07 11:48:10,75.9%
2025-04-07 11:48:15,78.6%
2025-04-07 11:48:20,79.0%
2025-04-07 11:48:25,77.0%
2025-04-07 11:48:30,73.0%
2025-04-07 11:48:35,78.6%
2025-04-07 11:48:40,75.4%
2025-04-07 11:48:45,72.9%
2025-04-07 11:48:50,74.0%
2025-04-07 11:48:55,74.8%
2025-04-07 11:49:00,82.4%
2025-04-07 11:49:05,75.5%
2025-04-07 11:49:10,73.0%
2025-04-07 11:49:15,73.3%
2025-04-07 11:49:20,73.9%
2025-04-07 11:49:25,77.5%
2025-04-07 11:49:30,75.1%
2025-04-07 11:49:35,75.7%
2025-04-07 11:49:40,75.6%
2025-04-07 11:49:45,75.2%
2025-04-07 11:49:50,72.8%
2025-04-07 11:49:55,74.7%
2025-04-07 11:50:00,72.3%
2025-04-07 11:50:05,75.6%
2025-04-07 11:50:10,81.4%
2025-04-07 11:50:15,76.5%
2025-04-07 11:50:20,76.2%
2025-04-07 11:50:25,74.9%
2025-04-07 11:50:30,75.3%
2025-04-07 11:50:35,81.7%
2025-04-07 11:50:40,73.6%
2025-04-07 11:50:45,73.8%
2025-04-07 11:50:50,74.8%
2025-04-07 11:50:55,75.7%
2025-04-07 11:51:00,76.9%
2025-04-07 11:51:05,81.0%
2025-04-07 11:51:10,77.3%
2025-04-07 11:51:15,74.8%
2025-04-07 11:51:20,75.9%
2025-04-07 11:51:25,74.7%
2025-04-07 11:51:30,76.8%
2025-04-07 11:51:35,81.6%
2025-04-07 11:51:40,69.2%
2025-04-07 11:51:45,77.8%
2025-04-07 11:51:50,74.5%
2025-04-07 11:51:55,81.3%
2025-04-07 11:52:00,77.0%
2025-04-07 11:52:05,76.4%
2025-04-07 11:52:10,72.9%
