"Time","Postgres"
2025-04-07 11:35:20,1.56%
2025-04-07 11:35:25,1.69%
2025-04-07 11:35:30,1.73%
2025-04-07 11:35:35,1.61%
2025-04-07 11:35:40,1.61%
2025-04-07 11:35:45,1.47%
2025-04-07 11:35:50,1.64%
2025-04-07 11:35:55,1.69%
2025-04-07 11:36:00,1.64%
2025-04-07 11:36:05,1.64%
2025-04-07 11:36:10,1.51%
2025-04-07 11:36:15,1.60%
2025-04-07 11:36:20,1.64%
2025-04-07 11:36:25,1.63%
2025-04-07 11:36:30,1.65%
2025-04-07 11:36:35,1.63%
2025-04-07 11:36:40,1.71%
2025-04-07 11:36:45,1.67%
2025-04-07 11:36:50,1.59%
2025-04-07 11:36:55,1.59%
2025-04-07 11:37:00,1.60%
2025-04-07 11:37:05,1.75%
2025-04-07 11:37:10,2.49%
2025-04-07 11:37:15,1.65%
2025-04-07 11:37:20,1.55%
2025-04-07 11:37:25,1.62%
2025-04-07 11:37:30,1.52%
2025-04-07 11:37:35,1.63%
2025-04-07 11:37:40,1.62%
2025-04-07 11:37:45,1.67%
2025-04-07 11:37:50,1.63%
2025-04-07 11:37:55,1.69%
2025-04-07 11:38:00,1.54%
2025-04-07 11:38:05,1.64%
2025-04-07 11:38:10,1.68%
2025-04-07 11:38:15,1.61%
2025-04-07 11:38:20,1.47%
2025-04-07 11:38:25,1.59%
2025-04-07 11:38:30,1.51%
2025-04-07 11:38:35,1.73%
2025-04-07 11:38:40,1.61%
2025-04-07 11:38:45,1.74%
2025-04-07 11:38:50,1.61%
2025-04-07 11:38:55,1.44%
2025-04-07 11:39:00,1.60%
2025-04-07 11:39:05,1.73%
2025-04-07 11:39:10,1.61%
2025-04-07 11:39:15,1.59%
2025-04-07 11:39:20,1.56%
2025-04-07 11:39:25,1.62%
2025-04-07 11:39:30,1.73%
2025-04-07 11:39:35,1.45%
2025-04-07 11:39:40,1.55%
2025-04-07 11:39:45,1.54%
2025-04-07 11:39:50,1.59%
2025-04-07 11:39:55,1.68%
2025-04-07 11:40:00,1.65%
2025-04-07 11:40:05,1.63%
2025-04-07 11:40:10,1.51%
2025-04-07 11:40:15,1.64%
2025-04-07 11:40:20,1.63%
