"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-07 11:29:12,8.09 W
2025-04-07 11:29:17,7.83 W
2025-04-07 11:29:22,7.90 W
2025-04-07 11:29:27,7.80 W
2025-04-07 11:29:32,7.68 W
2025-04-07 11:29:37,7.77 W
2025-04-07 11:29:42,7.97 W
2025-04-07 11:29:47,7.46 W
2025-04-07 11:29:52,8.01 W
2025-04-07 11:29:57,7.75 W
2025-04-07 11:30:02,7.74 W
2025-04-07 11:30:07,7.57 W
2025-04-07 11:30:12,7.72 W
2025-04-07 11:30:17,8.13 W
2025-04-07 11:30:22,8.19 W
2025-04-07 11:30:27,7.86 W
2025-04-07 11:30:32,7.79 W
2025-04-07 11:30:37,7.80 W
2025-04-07 11:30:42,8.00 W
2025-04-07 11:30:47,7.64 W
2025-04-07 11:30:52,7.81 W
2025-04-07 11:30:57,7.89 W
2025-04-07 11:31:02,7.76 W
2025-04-07 11:31:07,7.93 W
2025-04-07 11:31:12,8.01 W
2025-04-07 11:31:17,7.73 W
2025-04-07 11:31:22,7.92 W
2025-04-07 11:31:27,7.95 W
2025-04-07 11:31:32,8.03 W
2025-04-07 11:31:37,7.86 W
2025-04-07 11:31:42,7.74 W
2025-04-07 11:31:47,7.77 W
2025-04-07 11:31:52,8.02 W
2025-04-07 11:31:57,8.11 W
2025-04-07 11:32:02,7.79 W
2025-04-07 11:32:07,7.86 W
2025-04-07 11:32:12,7.79 W
2025-04-07 11:32:17,7.73 W
2025-04-07 11:32:22,7.80 W
2025-04-07 11:32:28,7.90 W
2025-04-07 11:32:33,7.95 W
2025-04-07 11:32:38,7.95 W
2025-04-07 11:32:43,7.80 W
2025-04-07 11:32:48,7.90 W
2025-04-07 11:32:53,7.95 W
2025-04-07 11:32:58,7.91 W
2025-04-07 11:33:03,7.86 W
2025-04-07 11:33:08,7.81 W
2025-04-07 11:33:13,7.95 W
2025-04-07 11:33:18,7.97 W
2025-04-07 11:33:23,7.89 W
2025-04-07 11:33:28,7.84 W
2025-04-07 11:33:33,7.90 W
2025-04-07 11:33:38,7.97 W
2025-04-07 11:33:43,7.98 W
