"Time","Redis"
2025-04-07 11:47:10,0.0685%
2025-04-07 11:47:15,0.0648%
2025-04-07 11:47:20,0.0650%
2025-04-07 11:47:25,0.0631%
2025-04-07 11:47:30,0.0653%
2025-04-07 11:47:35,0.0644%
2025-04-07 11:47:40,0.0657%
2025-04-07 11:47:45,0.0666%
2025-04-07 11:47:50,0.0649%
2025-04-07 11:47:55,0.0639%
2025-04-07 11:48:00,0.0632%
2025-04-07 11:48:05,0.0646%
2025-04-07 11:48:10,0.0639%
2025-04-07 11:48:15,0.0667%
2025-04-07 11:48:20,0.0644%
2025-04-07 11:48:25,0.0650%
2025-04-07 11:48:30,0.0639%
2025-04-07 11:48:35,0.0658%
2025-04-07 11:48:40,0.0659%
2025-04-07 11:48:45,0.0630%
2025-04-07 11:48:50,0.0650%
2025-04-07 11:48:55,0.0648%
2025-04-07 11:49:00,0.0655%
2025-04-07 11:49:05,0.0638%
2025-04-07 11:49:10,0.0644%
2025-04-07 11:49:15,0.0650%
2025-04-07 11:49:20,0.0642%
2025-04-07 11:49:25,0.0658%
2025-04-07 11:49:30,0.0658%
2025-04-07 11:49:35,0.0644%
2025-04-07 11:49:40,0.0661%
2025-04-07 11:49:45,0.0714%
2025-04-07 11:49:50,0.0657%
2025-04-07 11:49:55,0.0624%
2025-04-07 11:50:00,0.0654%
2025-04-07 11:50:05,0.0656%
2025-04-07 11:50:10,0.0669%
2025-04-07 11:50:15,0.0651%
2025-04-07 11:50:20,0.0640%
2025-04-07 11:50:25,0.0641%
2025-04-07 11:50:30,0.0658%
2025-04-07 11:50:35,0.0654%
2025-04-07 11:50:40,0.0646%
2025-04-07 11:50:45,0.0658%
2025-04-07 11:50:50,0.0639%
2025-04-07 11:50:55,0.0639%
2025-04-07 11:51:00,0.0656%
2025-04-07 11:51:05,0.0668%
2025-04-07 11:51:10,0.0637%
2025-04-07 11:51:15,0.0660%
2025-04-07 11:51:20,0.0649%
2025-04-07 11:51:25,0.0625%
2025-04-07 11:51:30,0.0667%
2025-04-07 11:51:35,0.0633%
2025-04-07 11:51:40,0.0647%
2025-04-07 11:51:45,0.0650%
2025-04-07 11:51:50,0.0656%
2025-04-07 11:51:55,0.0652%
2025-04-07 11:52:00,0.0652%
2025-04-07 11:52:05,0.0644%
2025-04-07 11:52:10,0.0647%
