"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 15:19:29,9.43 W
2025-04-03 15:19:34,5.77 W
2025-04-03 15:19:39,4.51 W
2025-04-03 15:19:44,6.23 W
2025-04-03 15:19:49,6.11 W
2025-04-03 15:19:54,8.97 W
2025-04-03 15:19:59,5.96 W
2025-04-03 15:20:04,5.38 W
2025-04-03 15:20:09,4.60 W
2025-04-03 15:20:14,7.65 W
2025-04-03 15:20:19,6.97 W
2025-04-03 15:20:24,4.39 W
2025-04-03 15:20:29,4.64 W
2025-04-03 15:20:34,3.49 W
2025-04-03 15:20:39,3.95 W
2025-04-03 15:20:44,5.32 W
2025-04-03 15:20:49,4.55 W
2025-04-03 15:20:54,3.81 W
2025-04-03 15:20:59,4.05 W
2025-04-03 15:21:04,4.07 W
2025-04-03 15:21:09,3.70 W
2025-04-03 15:21:14,3.63 W
2025-04-03 15:21:19,3.69 W
2025-04-03 15:21:24,3.46 W
2025-04-03 15:21:29,3.89 W
2025-04-03 15:21:34,7.47 W
2025-04-03 15:21:39,3.45 W
2025-04-03 15:21:44,3.97 W
2025-04-03 15:21:49,3.38 W
2025-04-03 15:21:54,3.47 W
2025-04-03 15:21:59,3.49 W
2025-04-03 15:22:04,3.46 W
2025-04-03 15:22:09,3.48 W
2025-04-03 15:22:14,3.54 W
2025-04-03 15:22:19,3.47 W
2025-04-03 15:22:24,3.46 W
2025-04-03 15:22:29,3.51 W
2025-04-03 15:22:34,3.45 W
2025-04-03 15:22:39,3.60 W
2025-04-03 15:22:44,3.41 W
2025-04-03 15:22:49,3.48 W
2025-04-03 15:22:54,3.49 W
2025-04-03 15:22:59,3.47 W
2025-04-03 15:23:04,3.46 W
2025-04-03 15:23:09,3.38 W
2025-04-03 15:23:14,3.43 W
2025-04-03 15:23:19,3.40 W
2025-04-03 15:23:24,3.50 W
2025-04-03 15:23:29,3.45 W
2025-04-03 15:23:34,3.48 W
2025-04-03 15:23:39,3.51 W
2025-04-03 15:23:44,3.56 W
2025-04-03 15:23:49,3.46 W
2025-04-03 15:23:54,3.45 W
2025-04-03 15:23:59,3.36 W
