"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-03 15:48:25,48.5%
2025-04-03 15:48:30,48.2%
2025-04-03 15:48:35,48.9%
2025-04-03 15:48:40,49.8%
2025-04-03 15:48:45,48.0%
2025-04-03 15:48:50,48.1%
2025-04-03 15:48:55,47.5%
2025-04-03 15:49:00,47.7%
2025-04-03 15:49:05,48.0%
2025-04-03 15:49:10,48.1%
2025-04-03 15:49:15,48.2%
2025-04-03 15:49:20,48.4%
2025-04-03 15:49:25,49.8%
2025-04-03 15:49:30,48.5%
2025-04-03 15:49:35,48.6%
2025-04-03 15:49:40,48.7%
2025-04-03 15:49:45,48.7%
2025-04-03 15:49:50,48.4%
2025-04-03 15:49:55,48.8%
2025-04-03 15:50:00,48.4%
2025-04-03 15:50:05,49.6%
2025-04-03 15:50:10,48.0%
2025-04-03 15:50:15,48.0%
2025-04-03 15:50:20,47.6%
2025-04-03 15:50:25,47.7%
2025-04-03 15:50:30,47.5%
2025-04-03 15:50:35,46.4%
2025-04-03 15:50:40,47.2%
2025-04-03 15:50:45,47.4%
2025-04-03 15:50:50,47.3%
2025-04-03 15:50:55,48.3%
2025-04-03 15:51:00,48.4%
2025-04-03 15:51:05,48.8%
2025-04-03 15:51:10,48.5%
2025-04-03 15:51:15,49.0%
2025-04-03 15:51:20,49.1%
2025-04-03 15:51:25,49.0%
2025-04-03 15:51:30,49.9%
2025-04-03 15:51:35,48.5%
2025-04-03 15:51:40,48.2%
2025-04-03 15:51:45,47.4%
2025-04-03 15:51:50,48.0%
2025-04-03 15:51:55,48.3%
2025-04-03 15:52:00,47.6%
2025-04-03 15:52:05,48.5%
2025-04-03 15:52:10,48.1%
2025-04-03 15:52:15,48.4%
2025-04-03 15:52:20,48.6%
2025-04-03 15:52:25,48.8%
2025-04-03 15:52:30,48.4%
2025-04-03 15:52:35,48.1%
2025-04-03 15:52:40,48.9%
2025-04-03 15:52:45,49.0%
2025-04-03 15:52:50,49.2%
2025-04-03 15:52:55,48.8%
2025-04-03 15:53:00,48.1%
2025-04-03 15:53:05,47.4%
2025-04-03 15:53:10,47.4%
2025-04-03 15:53:15,47.6%
2025-04-03 15:53:20,48.2%
2025-04-03 15:53:25,46.7%
