"Time","Grouped CPU Load"
2025-04-14 07:46:05,11.1%
2025-04-14 07:46:10,11.1%
2025-04-14 07:46:15,11.0%
2025-04-14 07:46:20,11.0%
2025-04-14 07:46:25,11.0%
2025-04-14 07:46:30,11.0%
2025-04-14 07:46:35,12.4%
2025-04-14 07:46:40,11.1%
2025-04-14 07:46:45,11.0%
2025-04-14 07:46:50,11.2%
2025-04-14 07:46:55,11.0%
2025-04-14 07:47:00,11.0%
2025-04-14 07:47:05,11.1%
2025-04-14 07:47:10,11.0%
2025-04-14 07:47:15,11.1%
2025-04-14 07:47:20,12.6%
2025-04-14 07:47:25,11.1%
2025-04-14 07:47:30,11.1%
2025-04-14 07:47:35,11.0%
2025-04-14 07:47:40,11.1%
2025-04-14 07:47:45,11.1%
2025-04-14 07:47:50,11.1%
2025-04-14 07:47:55,11.0%
2025-04-14 07:48:00,11.0%
2025-04-14 07:48:05,12.8%
2025-04-14 07:48:10,11.2%
2025-04-14 07:48:15,11.1%
2025-04-14 07:48:20,12.9%
2025-04-14 07:48:25,12.1%
2025-04-14 07:48:30,11.1%
2025-04-14 07:48:35,11.1%
2025-04-14 07:48:40,11.1%
2025-04-14 07:48:45,11.2%
2025-04-14 07:48:50,12.1%
2025-04-14 07:48:55,11.1%
2025-04-14 07:49:00,11.1%
2025-04-14 07:49:05,11.1%
2025-04-14 07:49:10,11.1%
2025-04-14 07:49:15,11.1%
2025-04-14 07:49:20,11.1%
2025-04-14 07:49:25,11.1%
2025-04-14 07:49:30,11.0%
2025-04-14 07:49:35,11.1%
2025-04-14 07:49:40,12.3%
2025-04-14 07:49:45,11.0%
2025-04-14 07:49:50,11.1%
2025-04-14 07:49:55,11.0%
2025-04-14 07:50:00,11.0%
2025-04-14 07:50:05,11.0%
2025-04-14 07:50:10,11.1%
2025-04-14 07:50:15,11.0%
2025-04-14 07:50:20,11.0%
2025-04-14 07:50:25,12.5%
2025-04-14 07:50:30,11.0%
2025-04-14 07:50:35,11.1%
2025-04-14 07:50:40,11.1%
2025-04-14 07:50:45,11.1%
2025-04-14 07:50:50,11.1%
2025-04-14 07:50:55,11.0%
2025-04-14 07:51:00,11.1%
2025-04-14 07:51:05,11.1%
