"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-03 15:35:20,2.67%
2025-04-03 15:35:25,2.67%
2025-04-03 15:35:30,2.65%
2025-04-03 15:35:35,2.63%
2025-04-03 15:35:40,2.68%
2025-04-03 15:35:45,2.99%
2025-04-03 15:35:50,2.93%
2025-04-03 15:35:55,2.86%
2025-04-03 15:36:00,2.90%
2025-04-03 15:36:05,2.89%
2025-04-03 15:36:10,2.90%
2025-04-03 15:36:15,2.88%
2025-04-03 15:36:20,2.87%
2025-04-03 15:36:25,2.84%
2025-04-03 15:36:30,2.82%
2025-04-03 15:36:35,2.75%
2025-04-03 15:36:40,2.66%
2025-04-03 15:36:45,2.53%
2025-04-03 15:36:50,2.54%
2025-04-03 15:36:55,2.56%
2025-04-03 15:37:00,2.62%
2025-04-03 15:37:05,2.74%
2025-04-03 15:37:10,2.90%
2025-04-03 15:37:15,2.84%
2025-04-03 15:37:20,2.81%
2025-04-03 15:37:25,2.82%
2025-04-03 15:37:30,2.83%
2025-04-03 15:37:35,2.83%
2025-04-03 15:37:40,2.83%
2025-04-03 15:37:45,2.83%
2025-04-03 15:37:50,2.85%
2025-04-03 15:37:55,2.83%
2025-04-03 15:38:00,2.80%
2025-04-03 15:38:05,2.77%
2025-04-03 15:38:10,2.72%
2025-04-03 15:38:15,2.64%
2025-04-03 15:38:20,2.55%
2025-04-03 15:38:25,2.43%
2025-04-03 15:38:30,2.84%
2025-04-03 15:38:35,2.89%
2025-04-03 15:38:40,2.79%
2025-04-03 15:38:45,2.83%
2025-04-03 15:38:50,2.90%
2025-04-03 15:38:55,3.01%
2025-04-03 15:39:00,3.10%
2025-04-03 15:39:05,3.19%
2025-04-03 15:39:10,2.89%
2025-04-03 15:39:15,2.94%
2025-04-03 15:39:20,2.85%
2025-04-03 15:39:25,3.48%
2025-04-03 15:39:30,2.93%
2025-04-03 15:39:35,2.78%
2025-04-03 15:39:40,2.82%
2025-04-03 15:39:45,2.84%
2025-04-03 15:39:50,2.69%
2025-04-03 15:39:55,2.67%
2025-04-03 15:40:00,2.80%
2025-04-03 15:40:05,3.07%
2025-04-03 15:40:10,3.08%
2025-04-03 15:40:15,3.16%
2025-04-03 15:40:20,3.11%
