"Time","Postgres"
2025-04-14 08:05:40,0.0148%
2025-04-14 08:05:45,0.0136%
2025-04-14 08:05:50,0.0138%
2025-04-14 08:05:55,0.0141%
2025-04-14 08:06:00,0.0141%
2025-04-14 08:06:05,0.0140%
2025-04-14 08:06:10,0.0329%
2025-04-14 08:06:15,0.0139%
2025-04-14 08:06:20,0.0144%
2025-04-14 08:06:25,0.0148%
2025-04-14 08:06:30,0.0143%
2025-04-14 08:06:35,0.0139%
2025-04-14 08:06:40,0.0137%
2025-04-14 08:06:45,0.0140%
2025-04-14 08:06:50,0.0135%
2025-04-14 08:06:55,0.0136%
2025-04-14 08:07:00,0.0129%
2025-04-14 08:07:05,0.0135%
2025-04-14 08:07:10,0.0325%
2025-04-14 08:07:15,0.0141%
2025-04-14 08:07:20,0.0138%
2025-04-14 08:07:25,0.0153%
2025-04-14 08:07:30,0.0151%
2025-04-14 08:07:35,0.0132%
2025-04-14 08:07:40,0.0141%
2025-04-14 08:07:45,0.0128%
2025-04-14 08:07:50,0.0138%
2025-04-14 08:07:55,0.0128%
2025-04-14 08:08:00,0.0142%
2025-04-14 08:08:05,0.0133%
2025-04-14 08:08:10,0.0463%
2025-04-14 08:08:15,0.0131%
2025-04-14 08:08:20,0.180%
2025-04-14 08:08:25,0.382%
2025-04-14 08:08:30,0.0117%
2025-04-14 08:08:35,0.0150%
2025-04-14 08:08:40,0.0143%
2025-04-14 08:08:45,0.0151%
2025-04-14 08:08:50,0.0139%
2025-04-14 08:08:55,0.0139%
2025-04-14 08:09:00,0.0144%
2025-04-14 08:09:05,0.0137%
2025-04-14 08:09:10,0.0430%
2025-04-14 08:09:15,0.0137%
2025-04-14 08:09:20,0.0135%
2025-04-14 08:09:25,0.0156%
2025-04-14 08:09:30,0.0138%
2025-04-14 08:09:35,0.0148%
2025-04-14 08:09:40,0.0144%
2025-04-14 08:09:45,0.0143%
2025-04-14 08:09:50,0.0150%
2025-04-14 08:09:55,0.0142%
2025-04-14 08:10:00,0.0140%
2025-04-14 08:10:05,0.0136%
2025-04-14 08:10:10,0.0335%
2025-04-14 08:10:15,0.0141%
2025-04-14 08:10:20,0.0136%
2025-04-14 08:10:25,0.0139%
2025-04-14 08:10:30,0.0138%
2025-04-14 08:10:35,0.0140%
2025-04-14 08:10:40,0.0146%
