"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 15:48:30,7.58 W
2025-04-03 15:48:35,7.34 W
2025-04-03 15:48:40,7.59 W
2025-04-03 15:48:45,7.42 W
2025-04-03 15:48:50,7.41 W
2025-04-03 15:48:55,7.13 W
2025-04-03 15:49:00,7.09 W
2025-04-03 15:49:05,7.24 W
2025-04-03 15:49:10,7.37 W
2025-04-03 15:49:15,7.30 W
2025-04-03 15:49:20,7.36 W
2025-04-03 15:49:25,7.47 W
2025-04-03 15:49:30,7.11 W
2025-04-03 15:49:35,7.25 W
2025-04-03 15:49:40,7.01 W
2025-04-03 15:49:45,7.24 W
2025-04-03 15:49:50,7.18 W
2025-04-03 15:49:55,7.34 W
2025-04-03 15:50:00,7.34 W
2025-04-03 15:50:05,7.27 W
2025-04-03 15:50:10,7.27 W
2025-04-03 15:50:15,6.92 W
2025-04-03 15:50:20,7.09 W
2025-04-03 15:50:25,7.09 W
2025-04-03 15:50:30,7.81 W
2025-04-03 15:50:35,9.12 W
2025-04-03 15:50:40,7.34 W
2025-04-03 15:50:45,8.06 W
2025-04-03 15:50:50,6.94 W
2025-04-03 15:50:55,6.92 W
2025-04-03 15:51:00,7.19 W
2025-04-03 15:51:05,7.12 W
2025-04-03 15:51:10,7.21 W
2025-04-03 15:51:15,7.02 W
2025-04-03 15:51:20,7.12 W
2025-04-03 15:51:25,7.54 W
2025-04-03 15:51:30,7.23 W
2025-04-03 15:51:35,6.95 W
2025-04-03 15:51:40,7.13 W
2025-04-03 15:51:45,7.31 W
2025-04-03 15:51:50,7.02 W
2025-04-03 15:51:55,7.21 W
2025-04-03 15:52:00,8.05 W
2025-04-03 15:52:05,7.10 W
2025-04-03 15:52:10,7.15 W
2025-04-03 15:52:15,7.24 W
2025-04-03 15:52:20,7.23 W
2025-04-03 15:52:25,7.05 W
2025-04-03 15:52:30,8.33 W
2025-04-03 15:52:35,7.24 W
2025-04-03 15:52:40,7.34 W
2025-04-03 15:52:45,7.18 W
2025-04-03 15:52:50,7.35 W
2025-04-03 15:52:55,7.05 W
2025-04-03 15:53:00,7.19 W
