"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-03 15:42:05,0.0676%
2025-04-03 15:42:10,0.0716%
2025-04-03 15:42:15,0.0768%
2025-04-03 15:42:20,0.0730%
2025-04-03 15:42:25,0.0672%
2025-04-03 15:42:30,0.0671%
2025-04-03 15:42:35,0.0649%
2025-04-03 15:42:40,0.0723%
2025-04-03 15:42:45,0.0730%
2025-04-03 15:42:50,0.0702%
2025-04-03 15:42:55,0.0698%
2025-04-03 15:43:00,0.0722%
2025-04-03 15:43:05,0.0749%
2025-04-03 15:43:10,0.0683%
2025-04-03 15:43:15,0.0654%
2025-04-03 15:43:20,0.0658%
2025-04-03 15:43:25,0.0745%
2025-04-03 15:43:30,0.0792%
2025-04-03 15:43:35,0.0929%
2025-04-03 15:43:40,0.0831%
2025-04-03 15:43:45,0.0842%
2025-04-03 15:43:50,0.0790%
2025-04-03 15:43:55,0.0801%
2025-04-03 15:44:00,0.0722%
2025-04-03 15:44:05,0.0701%
2025-04-03 15:44:10,0.0706%
2025-04-03 15:44:15,0.0733%
2025-04-03 15:44:20,0.0665%
2025-04-03 15:44:25,0.0730%
2025-04-03 15:44:30,0.0761%
2025-04-03 15:44:35,0.0746%
2025-04-03 15:44:40,0.0723%
2025-04-03 15:44:45,0.0725%
2025-04-03 15:44:50,0.0714%
2025-04-03 15:44:55,0.0717%
2025-04-03 15:45:00,0.0666%
2025-04-03 15:45:05,0.0664%
2025-04-03 15:45:10,0.0596%
2025-04-03 15:45:15,0.0557%
2025-04-03 15:45:20,0.0618%
2025-04-03 15:45:25,0.0597%
2025-04-03 15:45:30,0.0591%
2025-04-03 15:45:35,0.0610%
2025-04-03 15:45:40,0.0632%
2025-04-03 15:45:45,0.0620%
2025-04-03 15:45:50,0.0603%
2025-04-03 15:45:55,0.0604%
2025-04-03 15:46:00,0.0605%
2025-04-03 15:46:05,0.0601%
2025-04-03 15:46:10,0.0601%
2025-04-03 15:46:15,0.0625%
2025-04-03 15:46:20,0.0625%
2025-04-03 15:46:25,0.0633%
2025-04-03 15:46:30,0.0621%
2025-04-03 15:46:35,0.0615%
2025-04-03 15:46:40,0.0614%
2025-04-03 15:46:45,0.0617%
2025-04-03 15:46:50,0.0589%
2025-04-03 15:46:55,0.0606%
2025-04-03 15:47:00,0.0629%
2025-04-03 15:47:05,0.0707%
