"Time","Redis"
2025-04-14 07:30:30,1.79%
2025-04-14 07:30:35,1.74%
2025-04-14 07:30:40,1.79%
2025-04-14 07:30:45,1.87%
2025-04-14 07:30:50,1.83%
2025-04-14 07:30:55,1.87%
2025-04-14 07:31:00,1.84%
2025-04-14 07:31:05,1.86%
2025-04-14 07:31:10,1.87%
2025-04-14 07:31:15,1.76%
2025-04-14 07:31:20,1.95%
2025-04-14 07:31:25,1.87%
2025-04-14 07:31:30,1.84%
2025-04-14 07:31:35,1.83%
2025-04-14 07:31:40,1.84%
2025-04-14 07:31:45,1.81%
2025-04-14 07:31:50,1.86%
2025-04-14 07:31:55,1.82%
2025-04-14 07:32:00,1.85%
2025-04-14 07:32:05,1.77%
2025-04-14 07:32:10,1.90%
2025-04-14 07:32:15,1.84%
2025-04-14 07:32:20,1.85%
2025-04-14 07:32:25,1.92%
2025-04-14 07:32:30,1.87%
2025-04-14 07:32:35,1.83%
2025-04-14 07:32:40,1.85%
2025-04-14 07:32:45,1.82%
2025-04-14 07:32:50,1.86%
2025-04-14 07:32:55,1.80%
2025-04-14 07:33:00,1.88%
2025-04-14 07:33:05,1.91%
2025-04-14 07:33:10,1.82%
2025-04-14 07:33:15,1.80%
2025-04-14 07:33:20,1.80%
2025-04-14 07:33:25,1.86%
2025-04-14 07:33:30,1.83%
2025-04-14 07:33:35,1.82%
2025-04-14 07:33:40,1.77%
2025-04-14 07:33:45,1.87%
2025-04-14 07:33:50,1.89%
2025-04-14 07:33:55,1.80%
2025-04-14 07:34:00,1.87%
2025-04-14 07:34:05,1.84%
2025-04-14 07:34:10,1.87%
2025-04-14 07:34:15,1.83%
2025-04-14 07:34:20,1.87%
2025-04-14 07:34:25,1.96%
2025-04-14 07:34:30,1.75%
2025-04-14 07:34:35,1.89%
2025-04-14 07:34:40,1.85%
2025-04-14 07:34:45,1.84%
2025-04-14 07:34:50,1.87%
2025-04-14 07:34:55,1.82%
2025-04-14 07:35:00,1.87%
2025-04-14 07:35:05,1.83%
2025-04-14 07:35:10,1.85%
2025-04-14 07:35:15,1.80%
2025-04-14 07:35:20,1.89%
2025-04-14 07:35:25,1.88%
2025-04-14 07:35:30,1.88%
