"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-14 07:24:10,9.20%
2025-04-14 07:24:15,9.22%
2025-04-14 07:24:20,9.21%
2025-04-14 07:24:25,9.16%
2025-04-14 07:24:30,9.16%
2025-04-14 07:24:35,9.14%
2025-04-14 07:24:40,9.24%
2025-04-14 07:24:45,9.27%
2025-04-14 07:24:50,10.8%
2025-04-14 07:24:55,9.21%
2025-04-14 07:25:00,9.15%
2025-04-14 07:25:05,9.14%
2025-04-14 07:25:10,9.19%
2025-04-14 07:25:15,9.18%
2025-04-14 07:25:20,9.17%
2025-04-14 07:25:25,9.14%
2025-04-14 07:25:30,9.16%
2025-04-14 07:25:35,9.33%
2025-04-14 07:25:40,10.3%
2025-04-14 07:25:45,9.21%
2025-04-14 07:25:50,9.18%
2025-04-14 07:25:55,9.26%
2025-04-14 07:26:00,9.25%
2025-04-14 07:26:05,9.19%
2025-04-14 07:26:10,9.19%
2025-04-14 07:26:15,9.15%
2025-04-14 07:26:20,9.19%
2025-04-14 07:26:25,9.18%
2025-04-14 07:26:30,10.4%
2025-04-14 07:26:35,9.28%
2025-04-14 07:26:40,9.19%
2025-04-14 07:26:45,9.21%
2025-04-14 07:26:50,9.19%
2025-04-14 07:26:55,9.16%
2025-04-14 07:27:00,9.15%
2025-04-14 07:27:05,9.20%
2025-04-14 07:27:10,10.9%
2025-04-14 07:27:15,9.25%
2025-04-14 07:27:20,9.25%
2025-04-14 07:27:25,9.19%
2025-04-14 07:27:30,9.18%
2025-04-14 07:27:35,9.21%
2025-04-14 07:27:40,9.13%
2025-04-14 07:27:45,9.15%
2025-04-14 07:27:50,9.17%
2025-04-14 07:27:55,9.18%
2025-04-14 07:28:00,10.4%
2025-04-14 07:28:05,9.24%
2025-04-14 07:28:10,9.19%
2025-04-14 07:28:15,9.19%
2025-04-14 07:28:20,10.2%
2025-04-14 07:28:25,10.3%
2025-04-14 07:28:30,9.17%
2025-04-14 07:28:35,9.14%
2025-04-14 07:28:40,9.19%
2025-04-14 07:28:45,10.4%
2025-04-14 07:28:50,9.17%
2025-04-14 07:28:55,9.15%
2025-04-14 07:29:00,9.19%
2025-04-14 07:29:05,9.21%
2025-04-14 07:29:10,9.15%
