"Time","GraphQL server"
2025-04-14 08:05:40,9.16%
2025-04-14 08:05:45,9.14%
2025-04-14 08:05:50,9.15%
2025-04-14 08:05:55,9.15%
2025-04-14 08:06:00,9.21%
2025-04-14 08:06:05,10.8%
2025-04-14 08:06:10,9.17%
2025-04-14 08:06:15,9.18%
2025-04-14 08:06:20,9.25%
2025-04-14 08:06:25,9.15%
2025-04-14 08:06:30,9.20%
2025-04-14 08:06:35,9.14%
2025-04-14 08:06:40,9.18%
2025-04-14 08:06:45,9.17%
2025-04-14 08:06:50,10.5%
2025-04-14 08:06:55,9.19%
2025-04-14 08:07:00,9.17%
2025-04-14 08:07:05,9.20%
2025-04-14 08:07:10,9.13%
2025-04-14 08:07:15,9.20%
2025-04-14 08:07:20,9.17%
2025-04-14 08:07:25,9.19%
2025-04-14 08:07:30,9.16%
2025-04-14 08:07:35,10.5%
2025-04-14 08:07:40,9.17%
2025-04-14 08:07:45,9.22%
2025-04-14 08:07:50,9.19%
2025-04-14 08:07:55,9.14%
2025-04-14 08:08:00,9.13%
2025-04-14 08:08:05,9.18%
2025-04-14 08:08:10,9.17%
2025-04-14 08:08:15,9.16%
2025-04-14 08:08:20,9.16%
2025-04-14 08:08:25,10.6%
2025-04-14 08:08:30,11.0%
2025-04-14 08:08:35,9.21%
2025-04-14 08:08:40,9.17%
2025-04-14 08:08:45,9.20%
2025-04-14 08:08:50,9.17%
2025-04-14 08:08:55,9.20%
2025-04-14 08:09:00,9.19%
2025-04-14 08:09:05,9.15%
2025-04-14 08:09:10,9.15%
2025-04-14 08:09:15,9.16%
2025-04-14 08:09:20,11.2%
2025-04-14 08:09:25,9.19%
2025-04-14 08:09:30,9.29%
2025-04-14 08:09:35,9.20%
2025-04-14 08:09:40,9.17%
2025-04-14 08:09:45,9.16%
2025-04-14 08:09:50,9.17%
2025-04-14 08:09:55,9.22%
2025-04-14 08:10:00,9.15%
2025-04-14 08:10:05,10.8%
2025-04-14 08:10:10,9.17%
2025-04-14 08:10:15,9.17%
2025-04-14 08:10:20,9.18%
2025-04-14 08:10:25,9.15%
2025-04-14 08:10:30,9.19%
2025-04-14 08:10:35,9.18%
2025-04-14 08:10:40,9.15%
