"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-03 14:55:40,43.0%
2025-04-03 14:55:45,44.2%
2025-04-03 14:55:50,44.4%
2025-04-03 14:55:55,46.7%
2025-04-03 14:56:00,46.6%
2025-04-03 14:56:05,43.3%
2025-04-03 14:56:10,42.1%
2025-04-03 14:56:15,43.0%
2025-04-03 14:56:20,45.0%
2025-04-03 14:56:25,39.0%
2025-04-03 14:56:30,40.5%
2025-04-03 14:56:35,41.7%
2025-04-03 14:56:40,48.0%
2025-04-03 14:56:45,48.5%
2025-04-03 14:56:50,48.4%
2025-04-03 14:56:55,48.8%
2025-04-03 14:57:00,49.8%
2025-04-03 14:57:05,48.4%
2025-04-03 14:57:10,42.2%
2025-04-03 14:57:15,43.6%
2025-04-03 14:57:20,46.7%
2025-04-03 14:57:25,47.1%
2025-04-03 14:57:30,46.5%
2025-04-03 14:57:35,47.9%
2025-04-03 14:57:40,46.7%
2025-04-03 14:57:45,47.0%
2025-04-03 14:57:50,43.9%
2025-04-03 14:57:55,45.5%
2025-04-03 14:58:00,46.0%
2025-04-03 14:58:05,46.9%
2025-04-03 14:58:10,48.0%
2025-04-03 14:58:15,46.7%
2025-04-03 14:58:20,47.7%
2025-04-03 14:58:25,49.1%
2025-04-03 14:58:30,44.6%
2025-04-03 14:58:35,47.8%
2025-04-03 14:58:40,48.2%
2025-04-03 14:58:45,46.2%
2025-04-03 14:58:50,44.3%
2025-04-03 14:58:55,46.2%
2025-04-03 14:59:00,45.6%
2025-04-03 14:59:05,45.1%
2025-04-03 14:59:10,48.6%
2025-04-03 14:59:15,47.6%
2025-04-03 14:59:20,47.7%
2025-04-03 14:59:25,42.6%
2025-04-03 14:59:30,46.6%
2025-04-03 14:59:35,47.5%
2025-04-03 14:59:40,48.6%
2025-04-03 14:59:45,45.8%
2025-04-03 14:59:50,41.2%
2025-04-03 14:59:55,42.9%
2025-04-03 15:00:00,47.6%
2025-04-03 15:00:05,46.1%
2025-04-03 15:00:10,41.1%
2025-04-03 15:00:15,47.1%
2025-04-03 15:00:20,40.9%
2025-04-03 15:00:25,40.9%
2025-04-03 15:00:30,39.0%
2025-04-03 15:00:35,44.3%
2025-04-03 15:00:40,47.6%
