"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-03 14:46:00,2.46%
2025-04-03 14:46:05,2.43%
2025-04-03 14:46:10,2.42%
2025-04-03 14:46:15,2.39%
2025-04-03 14:46:20,2.37%
2025-04-03 14:46:25,2.40%
2025-04-03 14:46:30,2.34%
2025-04-03 14:46:35,2.33%
2025-04-03 14:46:40,2.31%
2025-04-03 14:46:45,2.21%
2025-04-03 14:46:50,2.64%
2025-04-03 14:46:55,2.60%
2025-04-03 14:47:00,2.59%
2025-04-03 14:47:05,2.52%
2025-04-03 14:47:10,2.51%
2025-04-03 14:47:15,2.49%
2025-04-03 14:47:20,2.44%
2025-04-03 14:47:25,2.36%
2025-04-03 14:47:30,2.43%
2025-04-03 14:47:35,2.39%
2025-04-03 14:47:40,2.41%
2025-04-03 14:47:45,2.43%
2025-04-03 14:47:50,2.42%
2025-04-03 14:47:55,2.40%
2025-04-03 14:48:00,2.39%
2025-04-03 14:48:05,2.80%
2025-04-03 14:48:10,2.28%
2025-04-03 14:48:15,2.25%
2025-04-03 14:48:20,2.36%
2025-04-03 14:48:25,2.67%
2025-04-03 14:48:30,2.57%
2025-04-03 14:48:35,2.53%
2025-04-03 14:48:40,2.47%
2025-04-03 14:48:45,2.53%
2025-04-03 14:48:50,2.50%
2025-04-03 14:48:55,2.47%
2025-04-03 14:49:00,2.44%
2025-04-03 14:49:05,2.45%
2025-04-03 14:49:10,2.41%
2025-04-03 14:49:15,2.40%
2025-04-03 14:49:20,2.40%
2025-04-03 14:49:25,2.35%
2025-04-03 14:49:30,2.34%
2025-04-03 14:49:35,2.30%
2025-04-03 14:49:40,2.27%
2025-04-03 14:49:45,2.38%
2025-04-03 14:49:50,2.64%
2025-04-03 14:49:55,2.62%
2025-04-03 14:50:00,2.55%
2025-04-03 14:50:05,2.51%
2025-04-03 14:50:10,2.52%
2025-04-03 14:50:15,2.42%
2025-04-03 14:50:20,2.40%
2025-04-03 14:50:25,2.42%
2025-04-03 14:50:30,2.41%
2025-04-03 14:50:35,2.44%
2025-04-03 14:50:40,2.43%
2025-04-03 14:50:45,2.41%
2025-04-03 14:50:50,2.40%
2025-04-03 14:50:55,2.42%
2025-04-03 14:51:00,2.37%
