"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 15:07:58,6.65 W
2025-04-03 15:08:03,6.88 W
2025-04-03 15:08:08,6.69 W
2025-04-03 15:08:13,6.73 W
2025-04-03 15:08:18,6.63 W
2025-04-03 15:08:23,6.56 W
2025-04-03 15:08:28,6.68 W
2025-04-03 15:08:33,6.73 W
2025-04-03 15:08:38,6.76 W
2025-04-03 15:08:43,6.51 W
2025-04-03 15:08:48,6.78 W
2025-04-03 15:08:53,6.74 W
2025-04-03 15:08:58,6.88 W
2025-04-03 15:09:03,6.74 W
2025-04-03 15:09:08,6.83 W
2025-04-03 15:09:13,6.55 W
2025-04-03 15:09:18,6.77 W
2025-04-03 15:09:23,6.64 W
2025-04-03 15:09:28,6.78 W
2025-04-03 15:09:33,6.85 W
2025-04-03 15:09:38,6.81 W
2025-04-03 15:09:43,6.78 W
2025-04-03 15:09:48,6.67 W
2025-04-03 15:09:53,6.73 W
2025-04-03 15:09:58,6.66 W
2025-04-03 15:10:04,6.89 W
2025-04-03 15:10:09,6.86 W
2025-04-03 15:10:14,6.82 W
2025-04-03 15:10:19,6.63 W
2025-04-03 15:10:24,6.88 W
2025-04-03 15:10:29,6.73 W
2025-04-03 15:10:34,6.82 W
2025-04-03 15:10:39,6.65 W
2025-04-03 15:10:44,6.79 W
2025-04-03 15:10:49,6.88 W
2025-04-03 15:10:54,6.67 W
2025-04-03 15:10:59,6.72 W
2025-04-03 15:11:04,6.84 W
2025-04-03 15:11:09,6.45 W
2025-04-03 15:11:14,6.76 W
2025-04-03 15:11:19,6.61 W
2025-04-03 15:11:24,6.68 W
2025-04-03 15:11:29,6.55 W
2025-04-03 15:11:34,6.84 W
2025-04-03 15:11:39,6.77 W
2025-04-03 15:11:44,6.71 W
2025-04-03 15:11:49,6.65 W
2025-04-03 15:11:54,6.55 W
2025-04-03 15:11:59,6.71 W
2025-04-03 15:12:04,6.56 W
2025-04-03 15:12:09,6.62 W
2025-04-03 15:12:14,6.72 W
2025-04-03 15:12:19,6.44 W
2025-04-03 15:12:24,6.66 W
2025-04-03 15:12:29,6.76 W
