"Time","Redis"
2025-04-03 15:14:00,0.0603%
2025-04-03 15:14:05,0.0599%
2025-04-03 15:14:10,0.0584%
2025-04-03 15:14:15,0.0601%
2025-04-03 15:14:20,0.0606%
2025-04-03 15:14:25,0.0583%
2025-04-03 15:14:30,0.0618%
2025-04-03 15:14:35,0.0585%
2025-04-03 15:14:40,0.0612%
2025-04-03 15:14:45,0.0611%
2025-04-03 15:14:50,0.0573%
2025-04-03 15:14:55,0.0598%
2025-04-03 15:15:00,0.0627%
2025-04-03 15:15:05,0.0569%
2025-04-03 15:15:10,0.0606%
2025-04-03 15:15:15,0.0615%
2025-04-03 15:15:20,0.0586%
2025-04-03 15:15:25,0.0574%
2025-04-03 15:15:30,0.0595%
2025-04-03 15:15:35,0.0617%
2025-04-03 15:15:40,0.0591%
2025-04-03 15:15:45,0.0592%
2025-04-03 15:15:50,0.0594%
2025-04-03 15:15:55,0.0603%
2025-04-03 15:16:00,0.0595%
2025-04-03 15:16:05,0.0584%
2025-04-03 15:16:10,0.0604%
2025-04-03 15:16:15,0.0606%
2025-04-03 15:16:20,0.0586%
2025-04-03 15:16:25,0.0592%
2025-04-03 15:16:30,0.0587%
2025-04-03 15:16:35,0.0607%
2025-04-03 15:16:40,0.0581%
2025-04-03 15:16:45,0.0611%
2025-04-03 15:16:50,0.0600%
2025-04-03 15:16:55,0.0600%
2025-04-03 15:17:00,0.0590%
2025-04-03 15:17:05,0.0599%
2025-04-03 15:17:10,0.0599%
2025-04-03 15:17:15,0.0608%
2025-04-03 15:17:20,0.0617%
2025-04-03 15:17:25,0.0615%
2025-04-03 15:17:30,0.0603%
2025-04-03 15:17:35,0.0612%
2025-04-03 15:17:40,0.0594%
2025-04-03 15:17:45,0.0609%
2025-04-03 15:17:50,0.0592%
2025-04-03 15:17:55,0.0588%
2025-04-03 15:18:00,0.0579%
2025-04-03 15:18:05,0.0599%
2025-04-03 15:18:10,0.0606%
2025-04-03 15:18:15,0.0612%
2025-04-03 15:18:20,0.0602%
2025-04-03 15:18:25,0.0606%
2025-04-03 15:18:30,0.0618%
2025-04-03 15:18:35,0.0584%
2025-04-03 15:18:40,0.0601%
2025-04-03 15:18:45,0.0604%
2025-04-03 15:18:50,0.0580%
2025-04-03 15:18:55,0.0597%
2025-04-03 15:19:00,0.0603%
