"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-03 15:07:55,48.5%
2025-04-03 15:08:00,47.3%
2025-04-03 15:08:05,48.5%
2025-04-03 15:08:10,47.1%
2025-04-03 15:08:15,47.9%
2025-04-03 15:08:20,47.6%
2025-04-03 15:08:25,47.6%
2025-04-03 15:08:30,48.1%
2025-04-03 15:08:35,48.1%
2025-04-03 15:08:40,47.1%
2025-04-03 15:08:45,48.3%
2025-04-03 15:08:50,48.3%
2025-04-03 15:08:55,47.1%
2025-04-03 15:09:00,47.9%
2025-04-03 15:09:05,47.2%
2025-04-03 15:09:10,48.1%
2025-04-03 15:09:15,46.9%
2025-04-03 15:09:20,47.7%
2025-04-03 15:09:25,46.9%
2025-04-03 15:09:30,48.7%
2025-04-03 15:09:35,47.3%
2025-04-03 15:09:40,48.2%
2025-04-03 15:09:45,46.4%
2025-04-03 15:09:50,48.4%
2025-04-03 15:09:55,47.2%
2025-04-03 15:10:00,47.5%
2025-04-03 15:10:05,48.5%
2025-04-03 15:10:10,46.3%
2025-04-03 15:10:15,48.3%
2025-04-03 15:10:20,47.6%
2025-04-03 15:10:25,47.8%
2025-04-03 15:10:30,47.3%
2025-04-03 15:10:35,47.8%
2025-04-03 15:10:40,47.9%
2025-04-03 15:10:45,47.8%
2025-04-03 15:10:50,47.1%
2025-04-03 15:10:55,47.6%
2025-04-03 15:11:00,47.5%
2025-04-03 15:11:05,48.0%
2025-04-03 15:11:10,47.2%
2025-04-03 15:11:15,47.7%
2025-04-03 15:11:20,47.1%
2025-04-03 15:11:25,47.8%
2025-04-03 15:11:30,47.7%
2025-04-03 15:11:35,48.2%
2025-04-03 15:11:40,47.4%
2025-04-03 15:11:45,48.2%
2025-04-03 15:11:50,47.4%
2025-04-03 15:11:55,47.7%
2025-04-03 15:12:00,47.9%
2025-04-03 15:12:05,47.4%
2025-04-03 15:12:10,48.1%
2025-04-03 15:12:15,46.5%
2025-04-03 15:12:20,48.3%
2025-04-03 15:12:25,47.1%
2025-04-03 15:12:30,48.5%
2025-04-03 15:12:35,47.4%
2025-04-03 15:12:40,47.2%
2025-04-03 15:12:45,44.9%
2025-04-03 15:12:50,46.4%
2025-04-03 15:12:55,43.2%
