"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-07 09:44:50,34.5%
2025-04-07 09:44:55,32.7%
2025-04-07 09:45:00,35.6%
2025-04-07 09:45:05,34.6%
2025-04-07 09:45:10,34.8%
2025-04-07 09:45:15,37.4%
2025-04-07 09:45:20,34.7%
2025-04-07 09:45:25,35.9%
2025-04-07 09:45:30,33.0%
2025-04-07 09:45:35,36.2%
2025-04-07 09:45:40,33.6%
2025-04-07 09:45:45,34.1%
2025-04-07 09:45:50,36.5%
2025-04-07 09:45:55,34.2%
2025-04-07 09:46:00,36.5%
2025-04-07 09:46:05,33.7%
2025-04-07 09:46:10,35.2%
2025-04-07 09:46:15,35.8%
2025-04-07 09:46:20,33.8%
2025-04-07 09:46:25,35.9%
2025-04-07 09:46:30,33.0%
2025-04-07 09:46:35,36.5%
2025-04-07 09:46:40,33.6%
2025-04-07 09:46:45,34.5%
2025-04-07 09:46:50,36.8%
2025-04-07 09:46:55,33.6%
2025-04-07 09:47:00,36.7%
2025-04-07 09:47:05,33.4%
2025-04-07 09:47:10,35.0%
2025-04-07 09:47:15,36.3%
2025-04-07 09:47:20,34.2%
2025-04-07 09:47:25,36.8%
2025-04-07 09:47:30,34.2%
2025-04-07 09:47:35,35.0%
2025-04-07 09:47:40,36.4%
2025-04-07 09:47:45,33.7%
2025-04-07 09:47:50,36.0%
2025-04-07 09:47:55,34.3%
2025-04-07 09:48:00,35.1%
2025-04-07 09:48:05,36.1%
2025-04-07 09:48:10,34.6%
2025-04-07 09:48:15,35.5%
2025-04-07 09:48:20,36.2%
2025-04-07 09:48:25,35.4%
2025-04-07 09:48:30,37.4%
2025-04-07 09:48:35,34.9%
2025-04-07 09:48:40,35.8%
2025-04-07 09:48:45,37.2%
2025-04-07 09:48:50,34.6%
2025-04-07 09:48:55,37.7%
2025-04-07 09:49:00,35.6%
2025-04-07 09:49:05,36.3%
2025-04-07 09:49:10,37.7%
2025-04-07 09:49:15,35.0%
2025-04-07 09:49:20,36.3%
2025-04-07 09:49:25,37.1%
2025-04-07 09:49:30,35.2%
2025-04-07 09:49:35,37.2%
2025-04-07 09:49:40,33.7%
2025-04-07 09:49:45,35.1%
2025-04-07 09:49:50,36.6%
