"Time","Grouped CPU Load"
2025-04-13 13:15:20,14.1%
2025-04-13 13:15:25,15.1%
2025-04-13 13:15:30,14.1%
2025-04-13 13:15:35,12.7%
2025-04-13 13:15:40,12.7%
2025-04-13 13:15:45,12.6%
2025-04-13 13:15:50,13.3%
2025-04-13 13:15:55,13.2%
2025-04-13 13:16:00,13.9%
2025-04-13 13:16:05,12.5%
2025-04-13 13:16:10,13.3%
2025-04-13 13:16:15,14.2%
2025-04-13 13:16:20,14.5%
2025-04-13 13:16:25,12.5%
2025-04-13 13:16:30,14.3%
2025-04-13 13:16:35,12.8%
2025-04-13 13:16:40,13.4%
2025-04-13 13:16:45,12.9%
2025-04-13 13:16:50,13.0%
2025-04-13 13:16:55,12.9%
2025-04-13 13:17:00,12.8%
2025-04-13 13:17:05,13.7%
2025-04-13 13:17:10,14.8%
2025-04-13 13:17:15,13.1%
2025-04-13 13:17:20,12.7%
2025-04-13 13:17:25,13.4%
2025-04-13 13:17:30,15.3%
2025-04-13 13:17:35,12.9%
2025-04-13 13:17:40,12.7%
2025-04-13 13:17:45,13.3%
2025-04-13 13:17:50,12.7%
2025-04-13 13:17:55,12.9%
2025-04-13 13:18:00,12.7%
2025-04-13 13:18:05,15.1%
2025-04-13 13:18:10,13.3%
2025-04-13 13:18:15,12.3%
2025-04-13 13:18:20,12.0%
2025-04-13 13:18:25,12.8%
2025-04-13 13:18:30,15.3%
2025-04-13 13:18:35,13.0%
2025-04-13 13:18:40,13.0%
2025-04-13 13:18:45,12.8%
2025-04-13 13:18:50,13.0%
2025-04-13 13:18:55,13.0%
2025-04-13 13:19:00,14.5%
2025-04-13 13:19:05,13.2%
2025-04-13 13:19:10,13.2%
2025-04-13 13:19:15,12.9%
2025-04-13 13:19:20,12.9%
2025-04-13 13:19:25,12.6%
2025-04-13 13:19:30,13.8%
2025-04-13 13:19:35,12.4%
2025-04-13 13:19:40,12.4%
2025-04-13 13:19:45,12.5%
2025-04-13 13:19:50,12.4%
2025-04-13 13:19:55,13.4%
2025-04-13 13:20:00,13.6%
2025-04-13 13:20:05,13.2%
2025-04-13 13:20:10,13.3%
2025-04-13 13:20:15,13.4%
2025-04-13 13:20:20,12.6%
