"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-13 13:09:40,0.188%
2025-04-13 13:09:45,0.216%
2025-04-13 13:09:50,0.204%
2025-04-13 13:09:55,0.221%
2025-04-13 13:10:00,0.193%
2025-04-13 13:10:05,0.263%
2025-04-13 13:10:10,0.252%
2025-04-13 13:10:15,0.277%
2025-04-13 13:10:20,0.272%
2025-04-13 13:10:25,0.243%
2025-04-13 13:10:30,0.432%
2025-04-13 13:10:35,0.294%
2025-04-13 13:10:40,0.224%
2025-04-13 13:10:45,0.246%
2025-04-13 13:10:50,0.170%
2025-04-13 13:10:55,0.250%
2025-04-13 13:11:00,0.159%
2025-04-13 13:11:05,0.237%
2025-04-13 13:11:10,0.231%
2025-04-13 13:11:15,0.246%
2025-04-13 13:11:20,0.254%
2025-04-13 13:11:25,0.259%
2025-04-13 13:11:30,0.357%
2025-04-13 13:11:35,0.246%
2025-04-13 13:11:40,0.233%
2025-04-13 13:11:45,0.277%
2025-04-13 13:11:50,0.161%
2025-04-13 13:11:55,0.228%
2025-04-13 13:12:00,0.173%
2025-04-13 13:12:05,0.200%
2025-04-13 13:12:10,0.218%
2025-04-13 13:12:15,0.332%
2025-04-13 13:12:20,0.202%
2025-04-13 13:12:25,0.213%
2025-04-13 13:12:30,0.985%
2025-04-13 13:12:35,0.268%
2025-04-13 13:12:40,0.197%
2025-04-13 13:12:45,0.220%
2025-04-13 13:12:50,0.311%
2025-04-13 13:12:55,0.370%
2025-04-13 13:13:00,0.240%
2025-04-13 13:13:05,0.236%
2025-04-13 13:13:10,0.328%
2025-04-13 13:13:15,0.325%
2025-04-13 13:13:20,0.306%
2025-04-13 13:13:25,0.226%
2025-04-13 13:13:30,0.467%
2025-04-13 13:13:35,0.276%
2025-04-13 13:13:40,0.225%
2025-04-13 13:13:45,0.300%
2025-04-13 13:13:50,0.240%
2025-04-13 13:13:55,0.288%
2025-04-13 13:14:00,0.208%
2025-04-13 13:14:05,0.162%
2025-04-13 13:14:10,0.251%
2025-04-13 13:14:15,0.183%
2025-04-13 13:14:20,0.226%
2025-04-13 13:14:25,0.196%
2025-04-13 13:14:30,0.362%
2025-04-13 13:14:35,0.251%
2025-04-13 13:14:40,0.298%
