"Time","Postgres"
2025-04-13 13:27:40,0.273%
2025-04-13 13:27:45,0.219%
2025-04-13 13:27:50,0.312%
2025-04-13 13:27:55,0.225%
2025-04-13 13:28:00,0.292%
2025-04-13 13:28:05,0.199%
2025-04-13 13:28:10,0.222%
2025-04-13 13:28:15,0.271%
2025-04-13 13:28:20,0.281%
2025-04-13 13:28:25,0.228%
2025-04-13 13:28:30,0.215%
2025-04-13 13:28:35,0.451%
2025-04-13 13:28:40,0.314%
2025-04-13 13:28:45,0.286%
2025-04-13 13:28:50,0.191%
2025-04-13 13:28:55,0.171%
2025-04-13 13:29:00,0.270%
2025-04-13 13:29:05,0.237%
2025-04-13 13:29:10,0.238%
2025-04-13 13:29:15,0.200%
2025-04-13 13:29:20,0.200%
2025-04-13 13:29:25,0.227%
2025-04-13 13:29:30,0.242%
2025-04-13 13:29:35,0.376%
2025-04-13 13:29:40,0.292%
2025-04-13 13:29:45,0.273%
2025-04-13 13:29:50,0.279%
2025-04-13 13:29:55,0.248%
2025-04-13 13:30:00,0.223%
2025-04-13 13:30:05,0.206%
2025-04-13 13:30:10,0.271%
2025-04-13 13:30:15,0.274%
2025-04-13 13:30:20,0.256%
2025-04-13 13:30:25,0.132%
2025-04-13 13:30:30,0.214%
2025-04-13 13:30:35,0.379%
2025-04-13 13:30:40,0.246%
2025-04-13 13:30:45,0.256%
2025-04-13 13:30:50,0.253%
2025-04-13 13:30:55,0.247%
2025-04-13 13:31:00,0.197%
2025-04-13 13:31:05,0.254%
2025-04-13 13:31:10,0.250%
2025-04-13 13:31:15,0.239%
2025-04-13 13:31:20,0.216%
2025-04-13 13:31:25,0.199%
2025-04-13 13:31:30,0.170%
2025-04-13 13:31:35,0.433%
2025-04-13 13:31:40,0.268%
2025-04-13 13:31:45,0.242%
2025-04-13 13:31:50,0.191%
2025-04-13 13:31:55,0.324%
2025-04-13 13:32:00,0.208%
2025-04-13 13:32:05,0.245%
2025-04-13 13:32:10,0.263%
2025-04-13 13:32:15,0.196%
2025-04-13 13:32:20,0.233%
2025-04-13 13:32:25,0.197%
2025-04-13 13:32:30,0.438%
2025-04-13 13:32:35,0.541%
2025-04-13 13:32:40,0.251%
