"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-07 09:18:42,5.97 W
2025-04-07 09:18:47,6.24 W
2025-04-07 09:18:52,6.06 W
2025-04-07 09:18:57,5.95 W
2025-04-07 09:19:02,6.24 W
2025-04-07 09:19:07,6.11 W
2025-04-07 09:19:12,6.17 W
2025-04-07 09:19:17,5.94 W
2025-04-07 09:19:22,5.95 W
2025-04-07 09:19:27,5.99 W
2025-04-07 09:19:32,6.14 W
2025-04-07 09:19:37,6.03 W
2025-04-07 09:19:42,5.94 W
2025-04-07 09:19:47,6.12 W
2025-04-07 09:19:52,6.08 W
2025-04-07 09:19:57,6.07 W
2025-04-07 09:20:02,5.90 W
2025-04-07 09:20:07,6.14 W
2025-04-07 09:20:12,6.19 W
2025-04-07 09:20:17,6.17 W
2025-04-07 09:20:22,6.17 W
2025-04-07 09:20:27,5.94 W
2025-04-07 09:20:32,6.19 W
2025-04-07 09:20:37,5.95 W
2025-04-07 09:20:42,5.88 W
2025-04-07 09:20:47,6.07 W
2025-04-07 09:20:52,5.94 W
2025-04-07 09:20:57,6.04 W
2025-04-07 09:21:02,5.91 W
2025-04-07 09:21:07,6.03 W
2025-04-07 09:21:12,6.08 W
2025-04-07 09:21:17,6.10 W
2025-04-07 09:21:22,6.07 W
2025-04-07 09:21:27,5.94 W
2025-04-07 09:21:32,6.03 W
2025-04-07 09:21:37,6.04 W
2025-04-07 09:21:42,6.00 W
2025-04-07 09:21:47,6.01 W
2025-04-07 09:21:52,5.95 W
2025-04-07 09:21:57,5.89 W
2025-04-07 09:22:02,6.03 W
2025-04-07 09:22:07,5.79 W
2025-04-07 09:22:12,5.87 W
2025-04-07 09:22:17,5.77 W
2025-04-07 09:22:22,5.98 W
2025-04-07 09:22:27,6.02 W
2025-04-07 09:22:32,5.99 W
2025-04-07 09:22:37,5.99 W
2025-04-07 09:22:42,5.94 W
2025-04-07 09:22:47,6.05 W
2025-04-07 09:22:52,6.01 W
2025-04-07 09:22:57,6.11 W
2025-04-07 09:23:02,6.16 W
2025-04-07 09:23:07,6.00 W
2025-04-07 09:23:12,6.18 W
