"Time","Redis"
2025-04-13 13:27:40,1.21%
2025-04-13 13:27:45,1.16%
2025-04-13 13:27:50,1.20%
2025-04-13 13:27:55,1.16%
2025-04-13 13:28:00,1.27%
2025-04-13 13:28:05,1.22%
2025-04-13 13:28:10,1.21%
2025-04-13 13:28:15,1.24%
2025-04-13 13:28:20,1.23%
2025-04-13 13:28:25,1.27%
2025-04-13 13:28:30,1.25%
2025-04-13 13:28:35,1.27%
2025-04-13 13:28:40,1.23%
2025-04-13 13:28:45,1.23%
2025-04-13 13:28:50,1.19%
2025-04-13 13:28:55,1.24%
2025-04-13 13:29:00,1.27%
2025-04-13 13:29:05,1.22%
2025-04-13 13:29:10,1.23%
2025-04-13 13:29:15,1.23%
2025-04-13 13:29:20,1.17%
2025-04-13 13:29:25,1.22%
2025-04-13 13:29:30,1.25%
2025-04-13 13:29:35,1.23%
2025-04-13 13:29:40,1.16%
2025-04-13 13:29:45,1.26%
2025-04-13 13:29:50,1.20%
2025-04-13 13:29:55,1.22%
2025-04-13 13:30:00,1.26%
2025-04-13 13:30:05,1.30%
2025-04-13 13:30:10,1.21%
2025-04-13 13:30:15,1.26%
2025-04-13 13:30:20,1.24%
2025-04-13 13:30:25,1.20%
2025-04-13 13:30:30,1.22%
2025-04-13 13:30:35,1.19%
2025-04-13 13:30:40,1.27%
2025-04-13 13:30:45,1.21%
2025-04-13 13:30:50,1.23%
2025-04-13 13:30:55,1.25%
2025-04-13 13:31:00,1.22%
2025-04-13 13:31:05,1.22%
2025-04-13 13:31:10,1.19%
2025-04-13 13:31:15,1.29%
2025-04-13 13:31:20,1.24%
2025-04-13 13:31:25,1.25%
2025-04-13 13:31:30,1.17%
2025-04-13 13:31:35,1.25%
2025-04-13 13:31:40,1.24%
2025-04-13 13:31:45,1.27%
2025-04-13 13:31:50,1.23%
2025-04-13 13:31:55,1.26%
2025-04-13 13:32:00,1.24%
2025-04-13 13:32:05,1.26%
2025-04-13 13:32:10,1.24%
2025-04-13 13:32:15,1.32%
2025-04-13 13:32:20,1.20%
2025-04-13 13:32:25,1.28%
2025-04-13 13:32:30,1.23%
2025-04-13 13:32:35,1.23%
2025-04-13 13:32:40,1.28%
