"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-13 13:33:45,1.21%
2025-04-13 13:33:50,1.23%
2025-04-13 13:33:55,1.16%
2025-04-13 13:34:00,1.20%
2025-04-13 13:34:05,1.26%
2025-04-13 13:34:10,1.26%
2025-04-13 13:34:15,1.20%
2025-04-13 13:34:20,1.18%
2025-04-13 13:34:25,1.28%
2025-04-13 13:34:30,1.24%
2025-04-13 13:34:35,1.26%
2025-04-13 13:34:40,1.23%
2025-04-13 13:34:45,1.25%
2025-04-13 13:34:50,1.21%
2025-04-13 13:34:55,1.23%
2025-04-13 13:35:00,1.25%
2025-04-13 13:35:05,1.19%
2025-04-13 13:35:10,1.21%
2025-04-13 13:35:15,1.23%
2025-04-13 13:35:20,1.23%
2025-04-13 13:35:25,1.24%
2025-04-13 13:35:30,1.23%
2025-04-13 13:35:35,1.23%
2025-04-13 13:35:40,1.23%
2025-04-13 13:35:45,1.24%
2025-04-13 13:35:50,1.26%
2025-04-13 13:35:55,1.23%
2025-04-13 13:36:00,1.24%
2025-04-13 13:36:05,1.15%
2025-04-13 13:36:10,1.25%
2025-04-13 13:36:15,1.27%
2025-04-13 13:36:20,1.23%
2025-04-13 13:36:25,1.23%
2025-04-13 13:36:30,1.22%
2025-04-13 13:36:35,1.22%
2025-04-13 13:36:40,1.23%
2025-04-13 13:36:45,1.23%
2025-04-13 13:36:50,1.20%
2025-04-13 13:36:55,1.27%
2025-04-13 13:37:00,1.25%
2025-04-13 13:37:05,1.28%
2025-04-13 13:37:10,1.29%
2025-04-13 13:37:15,1.23%
2025-04-13 13:37:20,1.22%
2025-04-13 13:37:25,1.24%
2025-04-13 13:37:30,1.24%
2025-04-13 13:37:35,1.21%
2025-04-13 13:37:40,1.20%
2025-04-13 13:37:45,1.25%
2025-04-13 13:37:50,1.24%
2025-04-13 13:37:55,1.18%
2025-04-13 13:38:00,1.27%
2025-04-13 13:38:05,1.22%
2025-04-13 13:38:10,1.23%
2025-04-13 13:38:15,1.27%
2025-04-13 13:38:20,1.24%
2025-04-13 13:38:25,1.24%
2025-04-13 13:38:30,1.21%
2025-04-13 13:38:35,1.26%
2025-04-13 13:38:40,1.22%
2025-04-13 13:38:45,1.20%
