"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-07 09:05:50,43.4%
2025-04-07 09:05:55,44.1%
2025-04-07 09:06:00,43.1%
2025-04-07 09:06:05,42.4%
2025-04-07 09:06:10,42.9%
2025-04-07 09:06:15,36.4%
2025-04-07 09:06:20,32.6%
2025-04-07 09:06:25,33.9%
2025-04-07 09:06:30,34.0%
2025-04-07 09:06:35,34.0%
2025-04-07 09:06:40,33.4%
2025-04-07 09:06:45,34.8%
2025-04-07 09:06:50,34.3%
2025-04-07 09:06:55,34.8%
2025-04-07 09:07:00,34.5%
2025-04-07 09:07:05,33.9%
2025-04-07 09:07:10,34.3%
2025-04-07 09:07:15,33.9%
2025-04-07 09:07:20,33.7%
2025-04-07 09:07:25,34.5%
2025-04-07 09:07:30,35.0%
2025-04-07 09:07:35,34.5%
2025-04-07 09:07:40,34.6%
2025-04-07 09:07:45,33.6%
2025-04-07 09:07:50,32.9%
2025-04-07 09:07:55,32.2%
2025-04-07 09:08:00,32.7%
2025-04-07 09:08:05,32.4%
2025-04-07 09:08:10,35.2%
2025-04-07 09:08:15,33.1%
2025-04-07 09:08:20,33.6%
2025-04-07 09:08:25,32.8%
2025-04-07 09:08:30,33.8%
2025-04-07 09:08:35,33.6%
2025-04-07 09:08:40,33.6%
2025-04-07 09:08:45,33.6%
2025-04-07 09:08:50,35.4%
2025-04-07 09:08:55,35.1%
2025-04-07 09:09:00,35.8%
2025-04-07 09:09:05,35.1%
2025-04-07 09:09:10,35.6%
2025-04-07 09:09:15,34.2%
2025-04-07 09:09:20,34.0%
2025-04-07 09:09:25,34.9%
2025-04-07 09:09:30,31.8%
2025-04-07 09:09:35,31.7%
2025-04-07 09:09:40,31.7%
2025-04-07 09:09:45,31.4%
2025-04-07 09:09:50,31.8%
2025-04-07 09:09:55,31.9%
2025-04-07 09:10:00,32.8%
2025-04-07 09:10:05,31.9%
2025-04-07 09:10:10,33.4%
2025-04-07 09:10:15,35.6%
2025-04-07 09:10:20,33.8%
2025-04-07 09:10:25,33.4%
2025-04-07 09:10:30,34.6%
2025-04-07 09:10:35,33.7%
2025-04-07 09:10:40,34.7%
2025-04-07 09:10:45,34.9%
2025-04-07 09:10:50,34.9%
