"Time","GraphQL server"
2025-04-13 13:15:20,12.6%
2025-04-13 13:15:25,13.6%
2025-04-13 13:15:30,12.5%
2025-04-13 13:15:35,11.3%
2025-04-13 13:15:40,11.4%
2025-04-13 13:15:45,11.3%
2025-04-13 13:15:50,11.9%
2025-04-13 13:15:55,11.8%
2025-04-13 13:16:00,12.4%
2025-04-13 13:16:05,11.1%
2025-04-13 13:16:10,11.8%
2025-04-13 13:16:15,12.8%
2025-04-13 13:16:20,13.0%
2025-04-13 13:16:25,11.0%
2025-04-13 13:16:30,12.7%
2025-04-13 13:16:35,11.3%
2025-04-13 13:16:40,11.9%
2025-04-13 13:16:45,11.5%
2025-04-13 13:16:50,11.5%
2025-04-13 13:16:55,11.4%
2025-04-13 13:17:00,11.3%
2025-04-13 13:17:05,12.2%
2025-04-13 13:17:10,13.4%
2025-04-13 13:17:15,11.6%
2025-04-13 13:17:20,11.3%
2025-04-13 13:17:25,11.9%
2025-04-13 13:17:30,13.4%
2025-04-13 13:17:35,11.4%
2025-04-13 13:17:40,11.2%
2025-04-13 13:17:45,11.9%
2025-04-13 13:17:50,11.3%
2025-04-13 13:17:55,11.3%
2025-04-13 13:18:00,11.2%
2025-04-13 13:18:05,13.6%
2025-04-13 13:18:10,11.8%
2025-04-13 13:18:15,10.8%
2025-04-13 13:18:20,10.6%
2025-04-13 13:18:25,11.4%
2025-04-13 13:18:30,13.6%
2025-04-13 13:18:35,11.6%
2025-04-13 13:18:40,11.5%
2025-04-13 13:18:45,11.4%
2025-04-13 13:18:50,11.5%
2025-04-13 13:18:55,11.5%
2025-04-13 13:19:00,13.0%
2025-04-13 13:19:05,11.7%
2025-04-13 13:19:10,11.7%
2025-04-13 13:19:15,11.4%
2025-04-13 13:19:20,11.4%
2025-04-13 13:19:25,11.2%
2025-04-13 13:19:30,12.1%
2025-04-13 13:19:35,11.0%
2025-04-13 13:19:40,11.0%
2025-04-13 13:19:45,11.1%
2025-04-13 13:19:50,11.0%
2025-04-13 13:19:55,12.1%
2025-04-13 13:20:00,12.1%
2025-04-13 13:20:05,11.7%
2025-04-13 13:20:10,11.8%
2025-04-13 13:20:15,12.0%
2025-04-13 13:20:20,11.2%
