"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-07 10:13:20,36.1%
2025-04-07 10:13:25,32.3%
2025-04-07 10:13:30,35.6%
2025-04-07 10:13:35,38.1%
2025-04-07 10:13:40,34.7%
2025-04-07 10:13:45,34.9%
2025-04-07 10:13:50,37.4%
2025-04-07 10:13:55,33.6%
2025-04-07 10:14:00,35.1%
2025-04-07 10:14:05,37.6%
2025-04-07 10:14:10,34.0%
2025-04-07 10:14:15,35.8%
2025-04-07 10:14:20,37.6%
2025-04-07 10:14:25,34.3%
2025-04-07 10:14:30,35.2%
2025-04-07 10:14:35,38.0%
2025-04-07 10:14:40,33.1%
2025-04-07 10:14:45,35.6%
2025-04-07 10:14:50,36.5%
2025-04-07 10:14:55,33.7%
2025-04-07 10:15:00,35.1%
2025-04-07 10:15:05,36.8%
2025-04-07 10:15:10,34.4%
2025-04-07 10:15:15,35.1%
2025-04-07 10:15:20,36.5%
2025-04-07 10:15:25,34.1%
2025-04-07 10:15:30,35.3%
2025-04-07 10:15:35,37.2%
2025-04-07 10:15:40,34.5%
2025-04-07 10:15:45,34.7%
2025-04-07 10:15:50,37.7%
2025-04-07 10:15:55,34.2%
2025-04-07 10:16:00,36.2%
2025-04-07 10:16:05,36.5%
2025-04-07 10:16:10,34.4%
2025-04-07 10:16:15,35.6%
2025-04-07 10:16:20,38.0%
2025-04-07 10:16:25,33.8%
2025-04-07 10:16:30,35.6%
2025-04-07 10:16:35,39.3%
2025-04-07 10:16:40,34.9%
2025-04-07 10:16:45,35.8%
2025-04-07 10:16:50,37.6%
2025-04-07 10:16:55,33.6%
2025-04-07 10:17:00,34.8%
2025-04-07 10:17:05,38.0%
2025-04-07 10:17:10,35.6%
2025-04-07 10:17:15,36.1%
2025-04-07 10:17:20,36.9%
2025-04-07 10:17:25,35.4%
2025-04-07 10:17:30,34.9%
2025-04-07 10:17:35,35.4%
2025-04-07 10:17:40,36.1%
2025-04-07 10:17:45,35.7%
2025-04-07 10:17:50,35.9%
2025-04-07 10:17:55,37.0%
2025-04-07 10:18:00,35.0%
2025-04-07 10:18:05,35.2%
2025-04-07 10:18:10,38.3%
2025-04-07 10:18:15,34.7%
2025-04-07 10:18:20,35.2%
