"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-07 10:07:35,2.48%
2025-04-07 10:07:40,2.74%
2025-04-07 10:07:45,2.68%
2025-04-07 10:07:50,2.62%
2025-04-07 10:07:55,2.41%
2025-04-07 10:08:00,2.44%
2025-04-07 10:08:05,2.42%
2025-04-07 10:08:10,2.42%
2025-04-07 10:08:15,2.40%
2025-04-07 10:08:20,2.28%
2025-04-07 10:08:25,2.52%
2025-04-07 10:08:30,2.34%
2025-04-07 10:08:35,2.38%
2025-04-07 10:08:40,2.46%
2025-04-07 10:08:45,2.27%
2025-04-07 10:08:50,2.45%
2025-04-07 10:08:55,2.38%
2025-04-07 10:09:00,2.36%
2025-04-07 10:09:05,2.44%
2025-04-07 10:09:10,2.34%
2025-04-07 10:09:15,2.37%
2025-04-07 10:09:20,2.43%
2025-04-07 10:09:25,2.36%
2025-04-07 10:09:30,2.40%
2025-04-07 10:09:35,2.34%
2025-04-07 10:09:40,2.23%
2025-04-07 10:09:45,2.49%
2025-04-07 10:09:50,2.36%
2025-04-07 10:09:55,2.35%
2025-04-07 10:10:00,2.47%
2025-04-07 10:10:05,2.30%
2025-04-07 10:10:10,2.35%
2025-04-07 10:10:15,2.43%
2025-04-07 10:10:20,2.32%
2025-04-07 10:10:25,2.34%
2025-04-07 10:10:30,2.42%
2025-04-07 10:10:35,2.30%
2025-04-07 10:10:40,2.39%
2025-04-07 10:10:45,2.36%
2025-04-07 10:10:50,2.28%
2025-04-07 10:10:55,2.47%
2025-04-07 10:11:00,2.36%
2025-04-07 10:11:05,2.33%
2025-04-07 10:11:10,2.44%
2025-04-07 10:11:15,2.33%
2025-04-07 10:11:20,2.33%
2025-04-07 10:11:25,2.44%
2025-04-07 10:11:30,2.29%
2025-04-07 10:11:35,2.35%
2025-04-07 10:11:40,2.90%
2025-04-07 10:11:45,2.31%
2025-04-07 10:11:50,2.45%
2025-04-07 10:11:55,2.37%
2025-04-07 10:12:00,2.27%
2025-04-07 10:12:05,2.46%
2025-04-07 10:12:10,2.39%
2025-04-07 10:12:15,2.22%
2025-04-07 10:12:20,2.48%
2025-04-07 10:12:25,2.35%
2025-04-07 10:12:30,2.28%
2025-04-07 10:12:35,2.46%
