"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-07 10:07:39,11.7 W
2025-04-07 10:07:44,10.9 W
2025-04-07 10:07:49,10.7 W
2025-04-07 10:07:54,7.40 W
2025-04-07 10:07:59,6.82 W
2025-04-07 10:08:04,8.96 W
2025-04-07 10:08:09,6.00 W
2025-04-07 10:08:14,6.19 W
2025-04-07 10:08:19,6.17 W
2025-04-07 10:08:24,6.25 W
2025-04-07 10:08:29,6.13 W
2025-04-07 10:08:34,6.20 W
2025-04-07 10:08:39,6.03 W
2025-04-07 10:08:44,6.26 W
2025-04-07 10:08:49,6.05 W
2025-04-07 10:08:54,6.16 W
2025-04-07 10:08:59,6.28 W
2025-04-07 10:09:04,6.11 W
2025-04-07 10:09:09,6.26 W
2025-04-07 10:09:14,5.94 W
2025-04-07 10:09:19,6.22 W
2025-04-07 10:09:24,6.27 W
2025-04-07 10:09:29,6.04 W
2025-04-07 10:09:34,6.10 W
2025-04-07 10:09:39,6.23 W
2025-04-07 10:09:44,6.30 W
2025-04-07 10:09:49,6.16 W
2025-04-07 10:09:54,6.12 W
2025-04-07 10:09:59,6.18 W
2025-04-07 10:10:04,6.32 W
2025-04-07 10:10:09,6.24 W
2025-04-07 10:10:14,6.04 W
2025-04-07 10:10:19,6.22 W
2025-04-07 10:10:24,6.07 W
2025-04-07 10:10:29,6.02 W
2025-04-07 10:10:34,6.24 W
2025-04-07 10:10:39,6.14 W
2025-04-07 10:10:44,6.18 W
2025-04-07 10:10:49,6.24 W
2025-04-07 10:10:54,6.16 W
2025-04-07 10:10:59,6.45 W
2025-04-07 10:11:04,6.09 W
2025-04-07 10:11:09,6.21 W
2025-04-07 10:11:14,6.39 W
2025-04-07 10:11:19,6.06 W
2025-04-07 10:11:24,6.12 W
2025-04-07 10:11:29,6.21 W
2025-04-07 10:11:34,6.15 W
2025-04-07 10:11:39,6.04 W
2025-04-07 10:11:44,6.19 W
2025-04-07 10:11:49,6.06 W
2025-04-07 10:11:54,6.04 W
2025-04-07 10:11:59,6.15 W
2025-04-07 10:12:04,6.14 W
2025-04-07 10:12:09,6.05 W
