"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-07 10:13:20,0.0668%
2025-04-07 10:13:25,0.0715%
2025-04-07 10:13:30,0.0659%
2025-04-07 10:13:35,0.0614%
2025-04-07 10:13:40,0.0589%
2025-04-07 10:13:45,0.0601%
2025-04-07 10:13:50,0.0587%
2025-04-07 10:13:55,0.0620%
2025-04-07 10:14:00,0.0632%
2025-04-07 10:14:05,0.0630%
2025-04-07 10:14:10,0.0584%
2025-04-07 10:14:15,0.0612%
2025-04-07 10:14:20,0.0605%
2025-04-07 10:14:25,0.0581%
2025-04-07 10:14:30,0.0575%
2025-04-07 10:14:35,0.0613%
2025-04-07 10:14:40,0.0607%
2025-04-07 10:14:45,0.0598%
2025-04-07 10:14:50,0.0596%
2025-04-07 10:14:55,0.0597%
2025-04-07 10:15:00,0.0601%
2025-04-07 10:15:05,0.0606%
2025-04-07 10:15:10,0.0612%
2025-04-07 10:15:15,0.0580%
2025-04-07 10:15:20,0.0587%
2025-04-07 10:15:25,0.0594%
2025-04-07 10:15:30,0.0582%
2025-04-07 10:15:35,0.0631%
2025-04-07 10:15:40,0.0594%
2025-04-07 10:15:45,0.0608%
2025-04-07 10:15:50,0.0622%
2025-04-07 10:15:55,0.0610%
2025-04-07 10:16:00,0.0593%
2025-04-07 10:16:05,0.0616%
2025-04-07 10:16:10,0.0593%
2025-04-07 10:16:15,0.0603%
2025-04-07 10:16:20,0.0624%
2025-04-07 10:16:25,0.0583%
2025-04-07 10:16:30,0.0595%
2025-04-07 10:16:35,0.0612%
2025-04-07 10:16:40,0.0605%
2025-04-07 10:16:45,0.0592%
2025-04-07 10:16:50,0.0619%
2025-04-07 10:16:55,0.0586%
2025-04-07 10:17:00,0.0605%
2025-04-07 10:17:05,0.0600%
2025-04-07 10:17:10,0.0600%
2025-04-07 10:17:15,0.0581%
2025-04-07 10:17:20,0.0643%
2025-04-07 10:17:25,0.0625%
2025-04-07 10:17:30,0.0634%
2025-04-07 10:17:35,0.0598%
2025-04-07 10:17:40,0.0609%
2025-04-07 10:17:45,0.0601%
2025-04-07 10:17:50,0.0613%
2025-04-07 10:17:55,0.0574%
2025-04-07 10:18:00,0.0613%
2025-04-07 10:18:05,0.0640%
2025-04-07 10:18:10,0.0610%
2025-04-07 10:18:15,0.0596%
2025-04-07 10:18:20,0.0613%
