"Time","Redis"
2025-04-07 10:19:40,0.0608%
2025-04-07 10:19:45,0.0591%
2025-04-07 10:19:50,0.0586%
2025-04-07 10:19:55,0.0604%
2025-04-07 10:20:00,0.0566%
2025-04-07 10:20:05,0.0597%
2025-04-07 10:20:10,0.0596%
2025-04-07 10:20:15,0.0616%
2025-04-07 10:20:20,0.0570%
2025-04-07 10:20:25,0.0601%
2025-04-07 10:20:30,0.0601%
2025-04-07 10:20:35,0.0610%
2025-04-07 10:20:40,0.0618%
2025-04-07 10:20:45,0.0686%
2025-04-07 10:20:50,0.0588%
2025-04-07 10:20:55,0.0584%
2025-04-07 10:21:00,0.0641%
2025-04-07 10:21:05,0.0570%
2025-04-07 10:21:10,0.0593%
2025-04-07 10:21:15,0.0602%
2025-04-07 10:21:20,0.0611%
2025-04-07 10:21:25,0.0592%
2025-04-07 10:21:30,0.0591%
2025-04-07 10:21:35,0.0588%
2025-04-07 10:21:40,0.0570%
2025-04-07 10:21:45,0.0585%
2025-04-07 10:21:50,0.0599%
2025-04-07 10:21:55,0.0600%
2025-04-07 10:22:00,0.0617%
2025-04-07 10:22:05,0.0601%
2025-04-07 10:22:10,0.0589%
2025-04-07 10:22:15,0.0596%
2025-04-07 10:22:20,0.0611%
2025-04-07 10:22:25,0.0598%
2025-04-07 10:22:30,0.0591%
2025-04-07 10:22:35,0.0602%
2025-04-07 10:22:40,0.0595%
2025-04-07 10:22:45,0.0609%
2025-04-07 10:22:50,0.0602%
2025-04-07 10:22:55,0.0599%
2025-04-07 10:23:00,0.0587%
2025-04-07 10:23:05,0.0606%
2025-04-07 10:23:10,0.0574%
2025-04-07 10:23:15,0.0597%
2025-04-07 10:23:20,0.0615%
2025-04-07 10:23:25,0.0624%
2025-04-07 10:23:30,0.0624%
2025-04-07 10:23:35,0.0625%
2025-04-07 10:23:40,0.0599%
2025-04-07 10:23:45,0.0584%
2025-04-07 10:23:50,0.0604%
2025-04-07 10:23:55,0.0592%
2025-04-07 10:24:00,0.0573%
2025-04-07 10:24:05,0.0605%
2025-04-07 10:24:10,0.0581%
2025-04-07 10:24:15,0.0581%
2025-04-07 10:24:20,0.0607%
2025-04-07 10:24:25,0.0595%
2025-04-07 10:24:30,0.0613%
2025-04-07 10:24:35,0.0615%
2025-04-07 10:24:40,0.0595%
